,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,655
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,837
new_tests,837
total_tests_per_thousand,837
new_tests_per_thousand,837
new_tests_smoothed,833
new_tests_smoothed_per_thousand,833
positive_rate,837
tests_per_case,856
tests_units,826
total_vaccinations,1620
people_vaccinated,1627
people_fully_vaccinated,1627
total_boosters,1654
new_vaccinations,1674
new_vaccinations_smoothed,760
total_vaccinations_per_hundred,1620
people_vaccinated_per_hundred,1627
people_fully_vaccinated_per_hundred,1627
total_boosters_per_hundred,1654
new_vaccinations_smoothed_per_million,760
new_people_vaccinated_smoothed,760
new_people_vaccinated_smoothed_per_hundred,760
stringency_index,1674
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
