,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,646
icu_patients,488
icu_patients_per_million,488
hosp_patients,488
hosp_patients_per_million,488
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,866
new_tests,869
total_tests_per_thousand,866
new_tests_per_thousand,869
new_tests_smoothed,867
new_tests_smoothed_per_thousand,867
positive_rate,1166
tests_per_case,1166
tests_units,860
total_vaccinations,1544
people_vaccinated,1544
people_fully_vaccinated,1544
total_boosters,1547
new_vaccinations,1674
new_vaccinations_smoothed,771
total_vaccinations_per_hundred,1544
people_vaccinated_per_hundred,1544
people_fully_vaccinated_per_hundred,1544
total_boosters_per_hundred,1547
new_vaccinations_smoothed_per_million,771
new_people_vaccinated_smoothed,771
new_people_vaccinated_smoothed_per_hundred,771
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
