,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,642
icu_patients,465
icu_patients_per_million,465
hosp_patients,465
hosp_patients_per_million,465
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,471
weekly_hosp_admissions_per_million,471
total_tests,833
new_tests,833
total_tests_per_thousand,833
new_tests_per_thousand,833
new_tests_smoothed,840
new_tests_smoothed_per_thousand,840
positive_rate,839
tests_per_case,839
tests_units,833
total_vaccinations,563
people_vaccinated,688
people_fully_vaccinated,576
total_boosters,684
new_vaccinations,592
new_vaccinations_smoothed,534
total_vaccinations_per_hundred,563
people_vaccinated_per_hundred,688
people_fully_vaccinated_per_hundred,576
total_boosters_per_hundred,684
new_vaccinations_smoothed_per_million,534
new_people_vaccinated_smoothed,660
new_people_vaccinated_smoothed_per_hundred,660
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
