,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,757
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1469
new_tests,1640
total_tests_per_thousand,1469
new_tests_per_thousand,1640
new_tests_smoothed,905
new_tests_smoothed_per_thousand,905
positive_rate,927
tests_per_case,983
tests_units,898
total_vaccinations,1594
people_vaccinated,1596
people_fully_vaccinated,1614
total_boosters,1644
new_vaccinations,1673
new_vaccinations_smoothed,663
total_vaccinations_per_hundred,1594
people_vaccinated_per_hundred,1596
people_fully_vaccinated_per_hundred,1614
total_boosters_per_hundred,1644
new_vaccinations_smoothed_per_million,663
new_people_vaccinated_smoothed,663
new_people_vaccinated_smoothed_per_hundred,663
stringency_index,582
extreme_poverty,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
