,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,649
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1313
new_tests,1409
total_tests_per_thousand,1313
new_tests_per_thousand,1409
new_tests_smoothed,996
new_tests_smoothed_per_thousand,996
positive_rate,1674
tests_per_case,1674
tests_units,989
total_vaccinations,979
people_vaccinated,983
people_fully_vaccinated,999
total_boosters,1219
new_vaccinations,1038
new_vaccinations_smoothed,880
total_vaccinations_per_hundred,979
people_vaccinated_per_hundred,983
people_fully_vaccinated_per_hundred,999
total_boosters_per_hundred,1219
new_vaccinations_smoothed_per_million,880
new_people_vaccinated_smoothed,880
new_people_vaccinated_smoothed_per_hundred,880
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
