,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,656
icu_patients,1487
icu_patients_per_million,1487
hosp_patients,1486
hosp_patients_per_million,1486
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1143
new_tests,1273
total_tests_per_thousand,1143
new_tests_per_thousand,1273
new_tests_smoothed,878
new_tests_smoothed_per_thousand,878
positive_rate,878
tests_per_case,878
tests_units,871
total_vaccinations,586
people_vaccinated,1422
people_fully_vaccinated,636
total_boosters,1489
new_vaccinations,700
new_vaccinations_smoothed,396
total_vaccinations_per_hundred,586
people_vaccinated_per_hundred,1422
people_fully_vaccinated_per_hundred,636
total_boosters_per_hundred,1489
new_vaccinations_smoothed_per_million,396
new_people_vaccinated_smoothed,585
new_people_vaccinated_smoothed_per_hundred,585
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
