,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,657
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,859
new_tests,859
total_tests_per_thousand,859
new_tests_per_thousand,859
new_tests_smoothed,866
new_tests_smoothed_per_thousand,866
positive_rate,865
tests_per_case,865
tests_units,859
total_vaccinations,1577
people_vaccinated,1577
people_fully_vaccinated,1580
total_boosters,1623
new_vaccinations,1674
new_vaccinations_smoothed,658
total_vaccinations_per_hundred,1577
people_vaccinated_per_hundred,1577
people_fully_vaccinated_per_hundred,1580
total_boosters_per_hundred,1623
new_vaccinations_smoothed_per_million,658
new_people_vaccinated_smoothed,658
new_people_vaccinated_smoothed_per_hundred,658
stringency_index,582
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
