,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,655
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,815
hosp_patients_per_million,815
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1552
weekly_hosp_admissions_per_million,1552
total_tests,1041
new_tests,1145
total_tests_per_thousand,1041
new_tests_per_thousand,1145
new_tests_smoothed,838
new_tests_smoothed_per_thousand,838
positive_rate,838
tests_per_case,838
tests_units,831
total_vaccinations,992
people_vaccinated,1001
people_fully_vaccinated,1093
total_boosters,1673
new_vaccinations,1114
new_vaccinations_smoothed,611
total_vaccinations_per_hundred,992
people_vaccinated_per_hundred,1001
people_fully_vaccinated_per_hundred,1093
total_boosters_per_hundred,1673
new_vaccinations_smoothed_per_million,611
new_people_vaccinated_smoothed,611
new_people_vaccinated_smoothed_per_hundred,611
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
