,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,657
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1153
new_tests,1252
total_tests_per_thousand,1153
new_tests_per_thousand,1252
new_tests_smoothed,857
new_tests_smoothed_per_thousand,857
positive_rate,857
tests_per_case,857
tests_units,850
total_vaccinations,1053
people_vaccinated,1053
people_fully_vaccinated,1073
total_boosters,1142
new_vaccinations,1139
new_vaccinations_smoothed,628
total_vaccinations_per_hundred,1053
people_vaccinated_per_hundred,1053
people_fully_vaccinated_per_hundred,1073
total_boosters_per_hundred,1142
new_vaccinations_smoothed_per_million,628
new_people_vaccinated_smoothed,628
new_people_vaccinated_smoothed_per_hundred,628
stringency_index,582
excess_mortality_cumulative_absolute,1628
excess_mortality_cumulative,1628
excess_mortality,1628
excess_mortality_cumulative_per_million,1628
