,0
new_cases,1
new_cases_smoothed,6
new_deaths_smoothed,5
new_cases_per_million,1
new_cases_smoothed_per_million,6
new_deaths_smoothed_per_million,5
reproduction_rate,654
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,856
new_tests,862
total_tests_per_thousand,856
new_tests_per_thousand,862
new_tests_smoothed,852
new_tests_smoothed_per_thousand,852
positive_rate,1032
tests_per_case,1032
tests_units,845
total_vaccinations,1094
people_vaccinated,1094
people_fully_vaccinated,1106
total_boosters,1350
new_vaccinations,1124
new_vaccinations_smoothed,874
total_vaccinations_per_hundred,1094
people_vaccinated_per_hundred,1094
people_fully_vaccinated_per_hundred,1106
total_boosters_per_hundred,1350
new_vaccinations_smoothed_per_million,874
new_people_vaccinated_smoothed,874
new_people_vaccinated_smoothed_per_hundred,874
stringency_index,582
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
