,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,676
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1019
new_tests,1019
total_tests_per_thousand,1019
new_tests_per_thousand,1019
new_tests_smoothed,874
new_tests_smoothed_per_thousand,874
positive_rate,1019
tests_per_case,1025
tests_units,867
total_vaccinations,1488
people_vaccinated,1491
people_fully_vaccinated,1505
total_boosters,1600
new_vaccinations,1581
new_vaccinations_smoothed,1082
total_vaccinations_per_hundred,1488
people_vaccinated_per_hundred,1491
people_fully_vaccinated_per_hundred,1505
total_boosters_per_hundred,1600
new_vaccinations_smoothed_per_million,1082
new_people_vaccinated_smoothed,1082
new_people_vaccinated_smoothed_per_hundred,1082
stringency_index,582
excess_mortality_cumulative_absolute,1666
excess_mortality_cumulative,1666
excess_mortality,1666
excess_mortality_cumulative_per_million,1666
