,0
total_cases,1359
new_cases,1359
new_cases_smoothed,1359
total_deaths,1359
new_deaths,1359
new_deaths_smoothed,1359
total_cases_per_million,1359
new_cases_per_million,1359
new_cases_smoothed_per_million,1359
total_deaths_per_million,1359
new_deaths_per_million,1359
new_deaths_smoothed_per_million,1359
reproduction_rate,1359
icu_patients,204
icu_patients_per_million,204
weekly_icu_admissions,1359
weekly_icu_admissions_per_million,1359
weekly_hosp_admissions,5
weekly_hosp_admissions_per_million,5
total_tests,1359
new_tests,1359
total_tests_per_thousand,1359
new_tests_per_thousand,1359
new_tests_smoothed,1359
new_tests_smoothed_per_thousand,1359
positive_rate,1359
tests_per_case,1359
tests_units,1359
total_vaccinations,534
people_vaccinated,533
people_fully_vaccinated,533
total_boosters,802
new_vaccinations,551
new_vaccinations_smoothed,455
total_vaccinations_per_hundred,534
people_vaccinated_per_hundred,533
people_fully_vaccinated_per_hundred,533
total_boosters_per_hundred,802
new_vaccinations_smoothed_per_million,455
new_people_vaccinated_smoothed,448
new_people_vaccinated_smoothed_per_hundred,448
stringency_index,1359
population_density,1359
median_age,1359
aged_65_older,1359
aged_70_older,1359
gdp_per_capita,1359
extreme_poverty,1359
cardiovasc_death_rate,1359
diabetes_prevalence,1359
female_smokers,1359
male_smokers,1359
handwashing_facilities,1359
hospital_beds_per_thousand,1359
life_expectancy,1359
human_development_index,1359
excess_mortality_cumulative_absolute,1359
excess_mortality_cumulative,1359
excess_mortality,1359
excess_mortality_cumulative_per_million,1359
