,0
total_cases,8
new_cases,8
new_cases_smoothed,13
total_deaths,8
new_deaths,8
new_deaths_smoothed,13
total_cases_per_million,8
new_cases_per_million,8
new_cases_smoothed_per_million,13
total_deaths_per_million,8
new_deaths_per_million,8
new_deaths_smoothed_per_million,13
reproduction_rate,658
icu_patients,1527
icu_patients_per_million,1527
hosp_patients,518
hosp_patients_per_million,518
weekly_icu_admissions,1497
weekly_icu_admissions_per_million,1497
weekly_hosp_admissions,1497
weekly_hosp_admissions_per_million,1497
total_tests,830
new_tests,834
total_tests_per_thousand,830
new_tests_per_thousand,834
new_tests_smoothed,821
new_tests_smoothed_per_thousand,821
positive_rate,841
tests_per_case,841
tests_units,814
total_vaccinations,415
people_vaccinated,415
people_fully_vaccinated,415
total_boosters,424
new_vaccinations,458
new_vaccinations_smoothed,358
total_vaccinations_per_hundred,415
people_vaccinated_per_hundred,415
people_fully_vaccinated_per_hundred,415
total_boosters_per_hundred,424
new_vaccinations_smoothed_per_million,358
new_people_vaccinated_smoothed,358
new_people_vaccinated_smoothed_per_hundred,358
stringency_index,590
handwashing_facilities,1682
excess_mortality_cumulative_absolute,1473
excess_mortality_cumulative,1473
excess_mortality,1473
excess_mortality_cumulative_per_million,1473
