,0
new_cases,392
new_cases_smoothed,397
new_deaths,392
new_deaths_smoothed,397
new_cases_per_million,392
new_cases_smoothed_per_million,397
new_deaths_per_million,392
new_deaths_smoothed_per_million,397
reproduction_rate,637
icu_patients,480
icu_patients_per_million,480
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,983
weekly_icu_admissions_per_million,983
weekly_hosp_admissions,460
weekly_hosp_admissions_per_million,460
total_tests,1556
new_tests,1674
total_tests_per_thousand,1556
new_tests_per_thousand,1674
new_tests_smoothed,861
new_tests_smoothed_per_thousand,861
positive_rate,1556
tests_per_case,1556
tests_units,854
total_vaccinations,842
people_vaccinated,842
people_fully_vaccinated,861
total_boosters,978
new_vaccinations,843
new_vaccinations_smoothed,843
total_vaccinations_per_hundred,842
people_vaccinated_per_hundred,842
people_fully_vaccinated_per_hundred,861
total_boosters_per_hundred,978
new_vaccinations_smoothed_per_million,843
new_people_vaccinated_smoothed,843
new_people_vaccinated_smoothed_per_hundred,843
stringency_index,582
extreme_poverty,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
