,0
new_cases,1
new_cases_smoothed,6
new_deaths_smoothed,5
new_cases_per_million,1
new_cases_smoothed_per_million,6
new_deaths_smoothed_per_million,5
reproduction_rate,677
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,934
new_tests,934
total_tests_per_thousand,934
new_tests_per_thousand,934
new_tests_smoothed,927
new_tests_smoothed_per_thousand,927
positive_rate,951
tests_per_case,951
tests_units,920
total_vaccinations,1261
people_vaccinated,1261
people_fully_vaccinated,1280
total_boosters,1538
new_vaccinations,1346
new_vaccinations_smoothed,868
total_vaccinations_per_hundred,1261
people_vaccinated_per_hundred,1261
people_fully_vaccinated_per_hundred,1280
total_boosters_per_hundred,1538
new_vaccinations_smoothed_per_million,868
new_people_vaccinated_smoothed,868
new_people_vaccinated_smoothed_per_hundred,868
stringency_index,582
female_smokers,1674
male_smokers,1674
excess_mortality_cumulative_absolute,1517
excess_mortality_cumulative,1517
excess_mortality,1517
excess_mortality_cumulative_per_million,1517
