,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,707
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1671
new_tests,1674
total_tests_per_thousand,1671
new_tests_per_thousand,1674
new_tests_smoothed,1295
new_tests_smoothed_per_thousand,1295
positive_rate,1295
tests_per_case,1295
tests_units,1288
total_vaccinations,1548
people_vaccinated,1542
people_fully_vaccinated,1555
total_boosters,1627
new_vaccinations,1642
new_vaccinations_smoothed,938
total_vaccinations_per_hundred,1548
people_vaccinated_per_hundred,1542
people_fully_vaccinated_per_hundred,1555
total_boosters_per_hundred,1627
new_vaccinations_smoothed_per_million,938
new_people_vaccinated_smoothed,938
new_people_vaccinated_smoothed_per_hundred,938
stringency_index,582
extreme_poverty,1674
female_smokers,1674
male_smokers,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
