,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,703
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1644
new_tests,1672
total_tests_per_thousand,1644
new_tests_per_thousand,1672
new_tests_smoothed,1513
new_tests_smoothed_per_thousand,1513
positive_rate,1513
tests_per_case,1513
tests_units,1506
total_vaccinations,1587
people_vaccinated,1587
people_fully_vaccinated,1588
total_boosters,1674
new_vaccinations,1657
new_vaccinations_smoothed,778
total_vaccinations_per_hundred,1587
people_vaccinated_per_hundred,1587
people_fully_vaccinated_per_hundred,1588
total_boosters_per_hundred,1674
new_vaccinations_smoothed_per_million,778
new_people_vaccinated_smoothed,778
new_people_vaccinated_smoothed_per_hundred,778
stringency_index,582
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
