,0
continent,3026
total_cases,1352
new_cases,1352
new_cases_smoothed,1357
total_deaths,1352
new_deaths,1352
new_deaths_smoothed,1357
total_cases_per_million,1352
new_cases_per_million,1352
new_cases_smoothed_per_million,1357
total_deaths_per_million,1352
new_deaths_per_million,1352
new_deaths_smoothed_per_million,1357
reproduction_rate,3026
icu_patients,3026
icu_patients_per_million,3026
hosp_patients,3026
hosp_patients_per_million,3026
weekly_icu_admissions,3026
weekly_icu_admissions_per_million,3026
weekly_hosp_admissions,3026
weekly_hosp_admissions_per_million,3026
total_tests,3026
new_tests,3026
total_tests_per_thousand,3026
new_tests_per_thousand,3026
new_tests_smoothed,3026
new_tests_smoothed_per_thousand,3026
positive_rate,3026
tests_per_case,3026
tests_units,3026
total_vaccinations,1674
people_vaccinated,1674
people_fully_vaccinated,1685
total_boosters,1704
new_vaccinations,1680
new_vaccinations_smoothed,1680
total_vaccinations_per_hundred,1674
people_vaccinated_per_hundred,1674
people_fully_vaccinated_per_hundred,1685
total_boosters_per_hundred,1704
new_vaccinations_smoothed_per_million,1680
new_people_vaccinated_smoothed,1680
new_people_vaccinated_smoothed_per_hundred,1680
stringency_index,3026
population_density,3026
median_age,3026
aged_65_older,3026
aged_70_older,3026
gdp_per_capita,3026
extreme_poverty,3026
cardiovasc_death_rate,3026
diabetes_prevalence,3026
female_smokers,3026
male_smokers,3026
handwashing_facilities,3026
hospital_beds_per_thousand,3026
life_expectancy,3026
human_development_index,3026
excess_mortality_cumulative_absolute,3026
excess_mortality_cumulative,3026
excess_mortality,3026
excess_mortality_cumulative_per_million,3026
