,0
total_cases,1654
new_cases,1654
new_cases_smoothed,1654
total_deaths,1654
new_deaths,1654
new_deaths_smoothed,1654
total_cases_per_million,1654
new_cases_per_million,1654
new_cases_smoothed_per_million,1654
total_deaths_per_million,1654
new_deaths_per_million,1654
new_deaths_smoothed_per_million,1654
reproduction_rate,1654
icu_patients,1654
icu_patients_per_million,1654
hosp_patients,1654
hosp_patients_per_million,1654
weekly_icu_admissions,1654
weekly_icu_admissions_per_million,1654
weekly_hosp_admissions,1654
weekly_hosp_admissions_per_million,1654
total_tests,1623
new_tests,1654
total_tests_per_thousand,1623
new_tests_per_thousand,1654
new_tests_smoothed,816
new_tests_smoothed_per_thousand,816
positive_rate,1624
tests_per_case,1624
tests_units,809
total_vaccinations,678
people_vaccinated,678
people_fully_vaccinated,681
total_boosters,737
new_vaccinations,761
new_vaccinations_smoothed,389
total_vaccinations_per_hundred,678
people_vaccinated_per_hundred,678
people_fully_vaccinated_per_hundred,681
total_boosters_per_hundred,737
new_vaccinations_smoothed_per_million,389
new_people_vaccinated_smoothed,389
new_people_vaccinated_smoothed_per_hundred,389
stringency_index,588
extreme_poverty,1654
cardiovasc_death_rate,1654
female_smokers,1654
male_smokers,1654
handwashing_facilities,1654
hospital_beds_per_thousand,1654
excess_mortality_cumulative_absolute,1606
excess_mortality_cumulative,1606
excess_mortality,1606
excess_mortality_cumulative_per_million,1606
