,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,648
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1583
weekly_hosp_admissions_per_million,1583
total_tests,832
new_tests,832
total_tests_per_thousand,832
new_tests_per_thousand,832
new_tests_smoothed,837
new_tests_smoothed_per_thousand,837
positive_rate,1674
tests_per_case,1674
tests_units,830
total_vaccinations,1532
people_vaccinated,1532
people_fully_vaccinated,1535
total_boosters,1618
new_vaccinations,1627
new_vaccinations_smoothed,1220
total_vaccinations_per_hundred,1532
people_vaccinated_per_hundred,1532
people_fully_vaccinated_per_hundred,1535
total_boosters_per_hundred,1618
new_vaccinations_smoothed_per_million,1220
new_people_vaccinated_smoothed,1220
new_people_vaccinated_smoothed_per_hundred,1220
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
