,0
total_cases,8
new_cases,8
new_cases_smoothed,13
total_deaths,8
new_deaths,8
new_deaths_smoothed,13
total_cases_per_million,8
new_cases_per_million,8
new_cases_smoothed_per_million,13
total_deaths_per_million,8
new_deaths_per_million,8
new_deaths_smoothed_per_million,13
reproduction_rate,658
icu_patients,1682
icu_patients_per_million,1682
hosp_patients,1682
hosp_patients_per_million,1682
weekly_icu_admissions,1682
weekly_icu_admissions_per_million,1682
weekly_hosp_admissions,1682
weekly_hosp_admissions_per_million,1682
total_tests,872
new_tests,887
total_tests_per_thousand,872
new_tests_per_thousand,887
new_tests_smoothed,858
new_tests_smoothed_per_thousand,858
positive_rate,866
tests_per_case,866
tests_units,851
total_vaccinations,432
people_vaccinated,437
people_fully_vaccinated,473
total_boosters,795
new_vaccinations,462
new_vaccinations_smoothed,377
total_vaccinations_per_hundred,432
people_vaccinated_per_hundred,437
people_fully_vaccinated_per_hundred,473
total_boosters_per_hundred,795
new_vaccinations_smoothed_per_million,377
new_people_vaccinated_smoothed,377
new_people_vaccinated_smoothed_per_hundred,377
stringency_index,590
excess_mortality_cumulative_absolute,1682
excess_mortality_cumulative,1682
excess_mortality,1682
excess_mortality_cumulative_per_million,1682
