,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,633
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1204
new_tests,1369
total_tests_per_thousand,1204
new_tests_per_thousand,1369
new_tests_smoothed,893
new_tests_smoothed_per_thousand,893
positive_rate,893
tests_per_case,893
tests_units,886
total_vaccinations,1485
people_vaccinated,1483
people_fully_vaccinated,1486
total_boosters,1546
new_vaccinations,1591
new_vaccinations_smoothed,653
total_vaccinations_per_hundred,1485
people_vaccinated_per_hundred,1483
people_fully_vaccinated_per_hundred,1486
total_boosters_per_hundred,1546
new_vaccinations_smoothed_per_million,653
new_people_vaccinated_smoothed,653
new_people_vaccinated_smoothed_per_hundred,653
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1530
excess_mortality_cumulative,1530
excess_mortality,1530
excess_mortality_cumulative_per_million,1530
