,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,650
icu_patients,1575
icu_patients_per_million,1575
hosp_patients,1480
hosp_patients_per_million,1480
weekly_icu_admissions,1478
weekly_icu_admissions_per_million,1478
weekly_hosp_admissions,1478
weekly_hosp_admissions_per_million,1478
total_tests,846
new_tests,847
total_tests_per_thousand,846
new_tests_per_thousand,847
new_tests_smoothed,853
new_tests_smoothed_per_thousand,853
positive_rate,846
tests_per_case,907
tests_units,846
total_vaccinations,615
people_vaccinated,615
people_fully_vaccinated,615
total_boosters,745
new_vaccinations,640
new_vaccinations_smoothed,588
total_vaccinations_per_hundred,615
people_vaccinated_per_hundred,615
people_fully_vaccinated_per_hundred,615
total_boosters_per_hundred,745
new_vaccinations_smoothed_per_million,588
new_people_vaccinated_smoothed,588
new_people_vaccinated_smoothed_per_hundred,588
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
