,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,658
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1339
new_tests,1403
total_tests_per_thousand,1339
new_tests_per_thousand,1403
new_tests_smoothed,931
new_tests_smoothed_per_thousand,931
positive_rate,932
tests_per_case,934
tests_units,924
total_vaccinations,1461
people_vaccinated,1462
people_fully_vaccinated,1466
total_boosters,1658
new_vaccinations,1528
new_vaccinations_smoothed,1088
total_vaccinations_per_hundred,1461
people_vaccinated_per_hundred,1462
people_fully_vaccinated_per_hundred,1466
total_boosters_per_hundred,1658
new_vaccinations_smoothed_per_million,1088
new_people_vaccinated_smoothed,1088
new_people_vaccinated_smoothed_per_hundred,1088
stringency_index,582
female_smokers,1674
male_smokers,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1638
excess_mortality_cumulative,1638
excess_mortality,1638
excess_mortality_cumulative_per_million,1638
