,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,810
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,746
hosp_patients_per_million,746
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1637
weekly_hosp_admissions_per_million,1637
total_tests,1076
new_tests,1076
total_tests_per_thousand,1076
new_tests_per_thousand,1076
new_tests_smoothed,1083
new_tests_smoothed_per_thousand,1083
positive_rate,1082
tests_per_case,1131
tests_units,1076
total_vaccinations,1254
people_vaccinated,1254
people_fully_vaccinated,1674
total_boosters,1478
new_vaccinations,1389
new_vaccinations_smoothed,776
total_vaccinations_per_hundred,1254
people_vaccinated_per_hundred,1254
people_fully_vaccinated_per_hundred,1674
total_boosters_per_hundred,1478
new_vaccinations_smoothed_per_million,776
new_people_vaccinated_smoothed,776
new_people_vaccinated_smoothed_per_hundred,776
stringency_index,582
median_age,1674
aged_65_older,1674
aged_70_older,1674
gdp_per_capita,1674
extreme_poverty,1674
cardiovasc_death_rate,1674
female_smokers,1674
male_smokers,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1628
excess_mortality_cumulative,1628
excess_mortality,1628
excess_mortality_cumulative_per_million,1628
