,0
total_cases,795
new_cases,795
new_cases_smoothed,795
total_deaths,795
new_deaths,795
new_deaths_smoothed,795
total_cases_per_million,795
new_cases_per_million,795
new_cases_smoothed_per_million,795
total_deaths_per_million,795
new_deaths_per_million,795
new_deaths_smoothed_per_million,795
reproduction_rate,795
icu_patients,795
icu_patients_per_million,795
hosp_patients,795
hosp_patients_per_million,795
weekly_icu_admissions,795
weekly_icu_admissions_per_million,795
weekly_hosp_admissions,795
weekly_hosp_admissions_per_million,795
total_tests,795
new_tests,795
total_tests_per_thousand,795
new_tests_per_thousand,795
new_tests_smoothed,795
new_tests_smoothed_per_thousand,795
positive_rate,795
tests_per_case,795
tests_units,795
total_vaccinations,347
people_vaccinated,395
people_fully_vaccinated,403
total_boosters,584
new_vaccinations,433
new_vaccinations_smoothed,1
total_vaccinations_per_hundred,347
people_vaccinated_per_hundred,395
people_fully_vaccinated_per_hundred,403
total_boosters_per_hundred,584
new_vaccinations_smoothed_per_million,1
new_people_vaccinated_smoothed,59
new_people_vaccinated_smoothed_per_hundred,59
stringency_index,103
extreme_poverty,795
cardiovasc_death_rate,795
diabetes_prevalence,795
female_smokers,795
male_smokers,795
handwashing_facilities,795
hospital_beds_per_thousand,795
human_development_index,795
excess_mortality_cumulative_absolute,769
excess_mortality_cumulative,769
excess_mortality,769
excess_mortality_cumulative_per_million,769
