,0
new_cases,1
new_cases_smoothed,6
new_deaths_smoothed,5
new_cases_per_million,1
new_cases_smoothed_per_million,6
new_deaths_smoothed_per_million,5
reproduction_rate,716
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1507
new_tests,1595
total_tests_per_thousand,1507
new_tests_per_thousand,1595
new_tests_smoothed,868
new_tests_smoothed_per_thousand,868
positive_rate,869
tests_per_case,889
tests_units,861
total_vaccinations,1591
people_vaccinated,1581
people_fully_vaccinated,1587
total_boosters,1639
new_vaccinations,1669
new_vaccinations_smoothed,706
total_vaccinations_per_hundred,1591
people_vaccinated_per_hundred,1581
people_fully_vaccinated_per_hundred,1587
total_boosters_per_hundred,1639
new_vaccinations_smoothed_per_million,706
new_people_vaccinated_smoothed,706
new_people_vaccinated_smoothed_per_hundred,706
stringency_index,582
female_smokers,1674
male_smokers,1674
hospital_beds_per_thousand,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
