,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,713
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1315
new_tests,1371
total_tests_per_thousand,1315
new_tests_per_thousand,1371
new_tests_smoothed,1133
new_tests_smoothed_per_thousand,1133
positive_rate,1140
tests_per_case,1140
tests_units,1126
total_vaccinations,1369
people_vaccinated,1355
people_fully_vaccinated,1400
total_boosters,1588
new_vaccinations,1449
new_vaccinations_smoothed,1224
total_vaccinations_per_hundred,1369
people_vaccinated_per_hundred,1355
people_fully_vaccinated_per_hundred,1400
total_boosters_per_hundred,1588
new_vaccinations_smoothed_per_million,1224
new_people_vaccinated_smoothed,1234
new_people_vaccinated_smoothed_per_hundred,1234
stringency_index,582
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
