,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,658
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,924
new_tests,976
total_tests_per_thousand,924
new_tests_per_thousand,976
new_tests_smoothed,824
new_tests_smoothed_per_thousand,824
positive_rate,846
tests_per_case,846
tests_units,817
total_vaccinations,1386
people_vaccinated,1403
people_fully_vaccinated,1403
total_boosters,1623
new_vaccinations,1525
new_vaccinations_smoothed,838
total_vaccinations_per_hundred,1386
people_vaccinated_per_hundred,1403
people_fully_vaccinated_per_hundred,1403
total_boosters_per_hundred,1623
new_vaccinations_smoothed_per_million,838
new_people_vaccinated_smoothed,860
new_people_vaccinated_smoothed_per_hundred,860
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
