,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,686
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1132
new_tests,1192
total_tests_per_thousand,1132
new_tests_per_thousand,1192
new_tests_smoothed,871
new_tests_smoothed_per_thousand,871
positive_rate,871
tests_per_case,871
tests_units,864
total_vaccinations,1617
people_vaccinated,1618
people_fully_vaccinated,1621
total_boosters,1655
new_vaccinations,1673
new_vaccinations_smoothed,737
total_vaccinations_per_hundred,1617
people_vaccinated_per_hundred,1618
people_fully_vaccinated_per_hundred,1621
total_boosters_per_hundred,1655
new_vaccinations_smoothed_per_million,737
new_people_vaccinated_smoothed,737
new_people_vaccinated_smoothed_per_hundred,737
stringency_index,582
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
