,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,753
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1027
new_tests,1109
total_tests_per_thousand,1027
new_tests_per_thousand,1109
new_tests_smoothed,868
new_tests_smoothed_per_thousand,868
positive_rate,868
tests_per_case,907
tests_units,861
total_vaccinations,1489
people_vaccinated,1485
people_fully_vaccinated,1496
total_boosters,1641
new_vaccinations,1565
new_vaccinations_smoothed,705
total_vaccinations_per_hundred,1489
people_vaccinated_per_hundred,1485
people_fully_vaccinated_per_hundred,1496
total_boosters_per_hundred,1641
new_vaccinations_smoothed_per_million,705
new_people_vaccinated_smoothed,705
new_people_vaccinated_smoothed_per_hundred,705
stringency_index,582
hospital_beds_per_thousand,1674
excess_mortality_cumulative_absolute,1650
excess_mortality_cumulative,1650
excess_mortality,1650
excess_mortality_cumulative_per_million,1650
