,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,718
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1663
new_tests,1674
total_tests_per_thousand,1663
new_tests_per_thousand,1674
new_tests_smoothed,1603
new_tests_smoothed_per_thousand,1603
positive_rate,1603
tests_per_case,1603
tests_units,1596
total_vaccinations,1574
people_vaccinated,1575
people_fully_vaccinated,1580
total_boosters,1668
new_vaccinations,1672
new_vaccinations_smoothed,781
total_vaccinations_per_hundred,1574
people_vaccinated_per_hundred,1575
people_fully_vaccinated_per_hundred,1580
total_boosters_per_hundred,1668
new_vaccinations_smoothed_per_million,781
new_people_vaccinated_smoothed,781
new_people_vaccinated_smoothed_per_hundred,781
stringency_index,582
female_smokers,1674
male_smokers,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1638
excess_mortality_cumulative,1638
excess_mortality,1638
excess_mortality_cumulative_per_million,1638
