,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,665
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1387
new_tests,1512
total_tests_per_thousand,1387
new_tests_per_thousand,1512
new_tests_smoothed,875
new_tests_smoothed_per_thousand,875
positive_rate,876
tests_per_case,876
tests_units,868
total_vaccinations,1537
people_vaccinated,1537
people_fully_vaccinated,1581
total_boosters,1646
new_vaccinations,1625
new_vaccinations_smoothed,698
total_vaccinations_per_hundred,1537
people_vaccinated_per_hundred,1537
people_fully_vaccinated_per_hundred,1581
total_boosters_per_hundred,1646
new_vaccinations_smoothed_per_million,698
new_people_vaccinated_smoothed,698
new_people_vaccinated_smoothed_per_hundred,698
stringency_index,582
extreme_poverty,1674
hospital_beds_per_thousand,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
