,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,642
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1032
hosp_patients_per_million,1032
weekly_icu_admissions,1531
weekly_icu_admissions_per_million,1531
weekly_hosp_admissions,1531
weekly_hosp_admissions_per_million,1531
total_tests,863
new_tests,863
total_tests_per_thousand,863
new_tests_per_thousand,863
new_tests_smoothed,869
new_tests_smoothed_per_thousand,869
positive_rate,863
tests_per_case,863
tests_units,862
total_vaccinations,976
people_vaccinated,976
people_fully_vaccinated,1003
total_boosters,1086
new_vaccinations,986
new_vaccinations_smoothed,963
total_vaccinations_per_hundred,976
people_vaccinated_per_hundred,976
people_fully_vaccinated_per_hundred,1003
total_boosters_per_hundred,1086
new_vaccinations_smoothed_per_million,963
new_people_vaccinated_smoothed,963
new_people_vaccinated_smoothed_per_hundred,963
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
