,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,651
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,995
new_tests,1071
total_tests_per_thousand,995
new_tests_per_thousand,1071
new_tests_smoothed,846
new_tests_smoothed_per_thousand,846
positive_rate,846
tests_per_case,854
tests_units,839
total_vaccinations,1292
people_vaccinated,1305
people_fully_vaccinated,1382
total_boosters,1446
new_vaccinations,1449
new_vaccinations_smoothed,659
total_vaccinations_per_hundred,1292
people_vaccinated_per_hundred,1305
people_fully_vaccinated_per_hundred,1382
total_boosters_per_hundred,1446
new_vaccinations_smoothed_per_million,659
new_people_vaccinated_smoothed,659
new_people_vaccinated_smoothed_per_hundred,659
stringency_index,582
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
