,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,671
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,930
new_tests,934
total_tests_per_thousand,930
new_tests_per_thousand,934
new_tests_smoothed,930
new_tests_smoothed_per_thousand,930
positive_rate,930
tests_per_case,930
tests_units,923
total_vaccinations,1410
people_vaccinated,1423
people_fully_vaccinated,1427
total_boosters,1611
new_vaccinations,1482
new_vaccinations_smoothed,865
total_vaccinations_per_hundred,1410
people_vaccinated_per_hundred,1423
people_fully_vaccinated_per_hundred,1427
total_boosters_per_hundred,1611
new_vaccinations_smoothed_per_million,865
new_people_vaccinated_smoothed,865
new_people_vaccinated_smoothed_per_hundred,865
stringency_index,582
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
