,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,653
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,948
new_tests,1674
total_tests_per_thousand,948
new_tests_per_thousand,1674
new_tests_smoothed,953
new_tests_smoothed_per_thousand,953
positive_rate,948
tests_per_case,955
tests_units,946
total_vaccinations,639
people_vaccinated,639
people_fully_vaccinated,660
total_boosters,887
new_vaccinations,640
new_vaccinations_smoothed,640
total_vaccinations_per_hundred,639
people_vaccinated_per_hundred,639
people_fully_vaccinated_per_hundred,660
total_boosters_per_hundred,887
new_vaccinations_smoothed_per_million,640
new_people_vaccinated_smoothed,640
new_people_vaccinated_smoothed_per_hundred,640
stringency_index,582
male_smokers,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1529
excess_mortality_cumulative,1529
excess_mortality,1529
excess_mortality_cumulative_per_million,1529
