,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,650
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,945
hosp_patients_per_million,945
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1555
new_tests,1674
total_tests_per_thousand,1555
new_tests_per_thousand,1674
new_tests_smoothed,854
new_tests_smoothed_per_thousand,854
positive_rate,854
tests_per_case,854
tests_units,847
total_vaccinations,726
people_vaccinated,741
people_fully_vaccinated,768
total_boosters,980
new_vaccinations,817
new_vaccinations_smoothed,627
total_vaccinations_per_hundred,726
people_vaccinated_per_hundred,741
people_fully_vaccinated_per_hundred,768
total_boosters_per_hundred,980
new_vaccinations_smoothed_per_million,627
new_people_vaccinated_smoothed,627
new_people_vaccinated_smoothed_per_hundred,627
stringency_index,582
extreme_poverty,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
