,0
new_cases,1
new_cases_smoothed,6
new_deaths_smoothed,5
new_cases_per_million,1
new_cases_smoothed_per_million,6
new_deaths_smoothed_per_million,5
reproduction_rate,1386
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1674
new_tests,1674
total_tests_per_thousand,1674
new_tests_per_thousand,1674
new_tests_smoothed,1674
new_tests_smoothed_per_thousand,1674
positive_rate,1674
tests_per_case,1674
tests_units,1674
total_vaccinations,1620
people_vaccinated,1620
people_fully_vaccinated,1626
total_boosters,1652
new_vaccinations,1674
new_vaccinations_smoothed,961
total_vaccinations_per_hundred,1620
people_vaccinated_per_hundred,1620
people_fully_vaccinated_per_hundred,1626
total_boosters_per_hundred,1652
new_vaccinations_smoothed_per_million,961
new_people_vaccinated_smoothed,961
new_people_vaccinated_smoothed_per_hundred,961
stringency_index,1674
extreme_poverty,1674
handwashing_facilities,1674
hospital_beds_per_thousand,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
