,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,655
icu_patients,480
icu_patients_per_million,480
hosp_patients,480
hosp_patients_per_million,480
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,827
new_tests,829
total_tests_per_thousand,827
new_tests_per_thousand,829
new_tests_smoothed,833
new_tests_smoothed_per_thousand,833
positive_rate,840
tests_per_case,840
tests_units,826
total_vaccinations,1437
people_vaccinated,1437
people_fully_vaccinated,1456
total_boosters,1564
new_vaccinations,1539
new_vaccinations_smoothed,1143
total_vaccinations_per_hundred,1437
people_vaccinated_per_hundred,1437
people_fully_vaccinated_per_hundred,1456
total_boosters_per_hundred,1564
new_vaccinations_smoothed_per_million,1143
new_people_vaccinated_smoothed,1143
new_people_vaccinated_smoothed_per_hundred,1143
stringency_index,582
aged_70_older,1674
extreme_poverty,1674
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
