,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,768
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1674
new_tests,1674
total_tests_per_thousand,1674
new_tests_per_thousand,1674
new_tests_smoothed,1674
new_tests_smoothed_per_thousand,1674
positive_rate,1674
tests_per_case,1674
tests_units,1674
total_vaccinations,1572
people_vaccinated,1570
people_fully_vaccinated,1583
total_boosters,1655
new_vaccinations,1653
new_vaccinations_smoothed,854
total_vaccinations_per_hundred,1572
people_vaccinated_per_hundred,1570
people_fully_vaccinated_per_hundred,1583
total_boosters_per_hundred,1655
new_vaccinations_smoothed_per_million,854
new_people_vaccinated_smoothed,854
new_people_vaccinated_smoothed_per_hundred,854
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1626
excess_mortality_cumulative,1626
excess_mortality,1626
excess_mortality_cumulative_per_million,1626
