,0
new_cases_smoothed,5
new_deaths,1
new_deaths_smoothed,6
new_cases_smoothed_per_million,5
new_deaths_per_million,1
new_deaths_smoothed_per_million,6
reproduction_rate,695
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1666
new_tests,1674
total_tests_per_thousand,1666
new_tests_per_thousand,1674
new_tests_smoothed,1583
new_tests_smoothed_per_thousand,1583
positive_rate,1583
tests_per_case,1632
tests_units,1576
total_vaccinations,1609
people_vaccinated,1606
people_fully_vaccinated,1611
total_boosters,1643
new_vaccinations,1672
new_vaccinations_smoothed,806
total_vaccinations_per_hundred,1609
people_vaccinated_per_hundred,1606
people_fully_vaccinated_per_hundred,1611
total_boosters_per_hundred,1643
new_vaccinations_smoothed_per_million,806
new_people_vaccinated_smoothed,806
new_people_vaccinated_smoothed_per_hundred,806
stringency_index,582
hospital_beds_per_thousand,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
