,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,655
icu_patients,567
icu_patients_per_million,567
hosp_patients,562
hosp_patients_per_million,562
weekly_icu_admissions,1481
weekly_icu_admissions_per_million,1481
weekly_hosp_admissions,1481
weekly_hosp_admissions_per_million,1481
total_tests,835
new_tests,835
total_tests_per_thousand,835
new_tests_per_thousand,835
new_tests_smoothed,842
new_tests_smoothed_per_thousand,842
positive_rate,841
tests_per_case,847
tests_units,835
total_vaccinations,1599
people_vaccinated,1599
people_fully_vaccinated,1601
total_boosters,1599
new_vaccinations,1674
new_vaccinations_smoothed,1100
total_vaccinations_per_hundred,1599
people_vaccinated_per_hundred,1599
people_fully_vaccinated_per_hundred,1601
total_boosters_per_hundred,1599
new_vaccinations_smoothed_per_million,1100
new_people_vaccinated_smoothed,1100
new_people_vaccinated_smoothed_per_hundred,1100
stringency_index,582
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
