,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,649
icu_patients,557
icu_patients_per_million,557
hosp_patients,557
hosp_patients_per_million,557
weekly_icu_admissions,1516
weekly_icu_admissions_per_million,1516
weekly_hosp_admissions,1512
weekly_hosp_admissions_per_million,1512
total_tests,820
new_tests,820
total_tests_per_thousand,820
new_tests_per_thousand,820
new_tests_smoothed,809
new_tests_smoothed_per_thousand,809
positive_rate,826
tests_per_case,836
tests_units,802
total_vaccinations,1135
people_vaccinated,1136
people_fully_vaccinated,1143
total_boosters,1320
new_vaccinations,1149
new_vaccinations_smoothed,1118
total_vaccinations_per_hundred,1135
people_vaccinated_per_hundred,1136
people_fully_vaccinated_per_hundred,1143
total_boosters_per_hundred,1320
new_vaccinations_smoothed_per_million,1118
new_people_vaccinated_smoothed,1119
new_people_vaccinated_smoothed_per_hundred,1119
stringency_index,582
extreme_poverty,1674
handwashing_facilities,1674
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
