,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,684
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1671
new_tests,1674
total_tests_per_thousand,1671
new_tests_per_thousand,1674
new_tests_smoothed,1577
new_tests_smoothed_per_thousand,1577
positive_rate,1577
tests_per_case,1620
tests_units,1570
total_vaccinations,1590
people_vaccinated,1591
people_fully_vaccinated,1596
total_boosters,1673
new_vaccinations,1667
new_vaccinations_smoothed,845
total_vaccinations_per_hundred,1590
people_vaccinated_per_hundred,1591
people_fully_vaccinated_per_hundred,1596
total_boosters_per_hundred,1673
new_vaccinations_smoothed_per_million,845
new_people_vaccinated_smoothed,845
new_people_vaccinated_smoothed_per_hundred,845
stringency_index,582
gdp_per_capita,1674
extreme_poverty,1674
female_smokers,1674
male_smokers,1674
human_development_index,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
