,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,654
icu_patients,801
icu_patients_per_million,801
hosp_patients,843
hosp_patients_per_million,843
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1557
weekly_hosp_admissions_per_million,1557
total_tests,854
new_tests,877
total_tests_per_thousand,854
new_tests_per_thousand,877
new_tests_smoothed,814
new_tests_smoothed_per_thousand,814
positive_rate,840
tests_per_case,840
tests_units,807
total_vaccinations,1135
people_vaccinated,1150
people_fully_vaccinated,1196
total_boosters,1364
new_vaccinations,1243
new_vaccinations_smoothed,724
total_vaccinations_per_hundred,1135
people_vaccinated_per_hundred,1150
people_fully_vaccinated_per_hundred,1196
total_boosters_per_hundred,1364
new_vaccinations_smoothed_per_million,724
new_people_vaccinated_smoothed,724
new_people_vaccinated_smoothed_per_hundred,724
stringency_index,582
excess_mortality_cumulative_absolute,1465
excess_mortality_cumulative,1465
excess_mortality,1465
excess_mortality_cumulative_per_million,1465
