,0
new_cases_smoothed,5
new_deaths_smoothed,5
new_cases_smoothed_per_million,5
new_deaths_smoothed_per_million,5
reproduction_rate,688
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1673
new_tests,1674
total_tests_per_thousand,1673
new_tests_per_thousand,1674
new_tests_smoothed,1674
new_tests_smoothed_per_thousand,1674
positive_rate,1674
tests_per_case,1674
tests_units,1673
total_vaccinations,1632
people_vaccinated,1635
people_fully_vaccinated,1641
total_boosters,1660
new_vaccinations,1671
new_vaccinations_smoothed,921
total_vaccinations_per_hundred,1632
people_vaccinated_per_hundred,1635
people_fully_vaccinated_per_hundred,1641
total_boosters_per_hundred,1660
new_vaccinations_smoothed_per_million,921
new_people_vaccinated_smoothed,921
new_people_vaccinated_smoothed_per_hundred,921
stringency_index,582
extreme_poverty,1674
female_smokers,1674
male_smokers,1674
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
