,0
total_cases,1
new_cases,1
new_cases_smoothed,1
total_deaths,1
new_deaths,1
new_deaths_smoothed,1
total_cases_per_million,1
new_cases_per_million,1
new_cases_smoothed_per_million,1
total_deaths_per_million,1
new_deaths_per_million,1
new_deaths_smoothed_per_million,1
reproduction_rate,1
icu_patients,1
icu_patients_per_million,1
hosp_patients,1
hosp_patients_per_million,1
weekly_icu_admissions,1
weekly_icu_admissions_per_million,1
weekly_hosp_admissions,1
weekly_hosp_admissions_per_million,1
new_tests,1
new_tests_per_thousand,1
new_tests_smoothed,1
new_tests_smoothed_per_thousand,1
positive_rate,1
tests_per_case,1
total_vaccinations,1
people_vaccinated,1
people_fully_vaccinated,1
total_boosters,1
new_vaccinations,1
new_vaccinations_smoothed,1
total_vaccinations_per_hundred,1
people_vaccinated_per_hundred,1
people_fully_vaccinated_per_hundred,1
total_boosters_per_hundred,1
new_vaccinations_smoothed_per_million,1
new_people_vaccinated_smoothed,1
new_people_vaccinated_smoothed_per_hundred,1
stringency_index,1
population_density,1
aged_65_older,1
gdp_per_capita,1
extreme_poverty,1
cardiovasc_death_rate,1
diabetes_prevalence,1
female_smokers,1
male_smokers,1
handwashing_facilities,1
hospital_beds_per_thousand,1
human_development_index,1
excess_mortality_cumulative_absolute,1
excess_mortality_cumulative,1
excess_mortality,1
excess_mortality_cumulative_per_million,1
