,0
new_cases,1
new_cases_smoothed,6
new_deaths_smoothed,5
new_cases_per_million,1
new_cases_smoothed_per_million,6
new_deaths_smoothed_per_million,5
reproduction_rate,724
icu_patients,1674
icu_patients_per_million,1674
hosp_patients,1674
hosp_patients_per_million,1674
weekly_icu_admissions,1674
weekly_icu_admissions_per_million,1674
weekly_hosp_admissions,1674
weekly_hosp_admissions_per_million,1674
total_tests,1000
new_tests,1040
total_tests_per_thousand,1000
new_tests_per_thousand,1040
new_tests_smoothed,903
new_tests_smoothed_per_thousand,903
positive_rate,903
tests_per_case,903
tests_units,896
total_vaccinations,1154
people_vaccinated,1154
people_fully_vaccinated,1182
total_boosters,1438
new_vaccinations,1205
new_vaccinations_smoothed,1076
total_vaccinations_per_hundred,1154
people_vaccinated_per_hundred,1154
people_fully_vaccinated_per_hundred,1182
total_boosters_per_hundred,1438
new_vaccinations_smoothed_per_million,1076
new_people_vaccinated_smoothed,1076
new_people_vaccinated_smoothed_per_hundred,1076
stringency_index,582
excess_mortality_cumulative_absolute,1674
excess_mortality_cumulative,1674
excess_mortality,1674
excess_mortality_cumulative_per_million,1674
