,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1017.0,824.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,28.0,27.0,23.0,11.0,3.0,583.0,28.0,27.0,23.0,11.0,583.0,583.0,583.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,DZA,Africa,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,192013.57108721626,162.56810035842295,163.04588016776512,5023.457586618877,4.110513739545998,4.1228364289994,4222.176565710873,3.574710872162485,3.585208508088676,110.46056929510156,0.09038470728793307,0.09064349910125824,1.0034513274336283,20.137135922330096,0.44845024271844663,,,,,,,230553.0,,5.219,,,,,,,10657044.857142856,5908922.444444444,5136519.130434782,355090.2727272727,56928.666666666664,26193.670668953688,23.73392857142857,13.15925925925926,11.437826086956521,0.7890909090909091,583.3241852487135,13457.036020583191,0.029982847341337902,48.544899267399266,17.348000000000003,29.100000000000005,6.211,3.857,13913.839000000005,0.5,278.36400000000003,6.730000000000002,0.7,30.399999999999995,83.741,1.8999999999999997,76.88,0.748,44903228.0,90945.81729208333,22.14770833333333,16.833541666666665,2025.6996781375
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,,,,,,,230553.0,,5.219,,,,,,,0.0,0.0,724812.0,13167.0,30.0,0.0,0.0,0.0,1.61,0.03,0.0,0.0,0.0,0.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228.0,99.1,0.3,-9.92,2.280695
25%,,,,2021-02-26 06:00:00,111764.0,0.0,1.286,2958.0,0.0,0.0,2457.573,0.0,0.028,65.043,0.0,0.0,0.83,2.0,0.045,,,,,,,230553.0,,5.219,,,,,,,10823048.75,6172921.0,4843568.5,199686.0,11778.0,1460.0,24.105,13.745000000000001,10.785,0.44499999999999995,33.0,2429.0,0.0055,33.44,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228.0,54289.453,18.71,-4.915,1228.8808
50%,,,,2022-04-20 12:00:00,265739.0,0.0,10.143,6874.0,0.0,0.0,5843.322,0.0,0.223,151.152,0.0,0.0,1.0,20.0,0.445,,,,,,,230553.0,,5.219,,,,,,,12020737.0,6697263.0,5340231.0,436274.0,23526.0,19522.0,26.77,14.91,11.89,0.97,435.0,9059.0,0.02,50.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228.0,124473.4,23.585,1.5550000000000002,2747.3639000000003
75%,,,,2023-06-12 18:00:00,271841.0,0.0,193.571,6881.0,0.0,7.0,5977.498,0.0,4.256,151.306,0.0,0.154,1.17,32.25,0.7184999999999999,,,,,,,230553.0,,5.219,,,,,,,13096209.0,7154262.0,5899985.5,514063.0,85378.0,22369.0,29.1625,15.93,13.14,1.14,498.0,18386.0,0.041,72.22,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228.0,131678.9275,28.3775,22.71,2899.71635
max,,,,2024-08-04 00:00:00,272139.0,14774.0,2110.571,6881.0,266.0,38.0,5984.05,324.865,46.409,151.306,5.849,0.836,1.79,67.0,1.492,,,,,,,230553.0,,5.219,,,,,,,15267442.0,7840131.0,6481186.0,575651.0,147230.0,256927.0,34.0,17.46,14.43,1.28,5722.0,105248.0,0.234,92.13,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228.0,136556.7,34.79,195.64,3041.1333
