,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1028.0,1186.0,1186.0,1186.0,1186.0,0.0,0.0,0.0,0.0,808.0,805.0,808.0,805.0,807.0,807.0,508.0,508.0,814,130.0,130.0,130.0,127.0,0.0,903.0,130.0,130.0,130.0,127.0,903.0,903.0,903.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,AUT,Europe,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,3171153.734767025,3633.479091995221,3644.356605152786,15039.994026284348,13.461170848267622,13.501485919712403,349836.29636439664,400.8392514934289,402.0392444577591,1659.18645041816,1.4850119474313024,1.4895068903535051,1.063920233463035,171.58347386172008,19.193589376053964,1199.3153456998314,134.15735075885328,,,,,61916210.08787129,234494.9801242236,6939.65938490099,26.282536645962736,234688.8166047088,26.304273853779428,0.019636220472440947,381.9334645669292,,14598677.076923076,5701742.561538462,5265634.938461538,3412898.220472441,,22672.839424141748,163.3037692307692,63.78046153846153,58.90238461538461,38.17685039370079,2536.2048726467333,7646.414174972315,0.08550941306755262,49.32313186813187,106.749,44.399999999999984,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.399999999999995,30.899999999999995,,7.370000000000001,81.53999999999999,0.9220000000000002,8939617.0,13275.475477578948,6.123636363636363,8.76980861244019,1484.0553593617226
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,4.0,0.447,43.0,4.81,,,,,16834.0,2376.0,1.887,0.266,2087.0,0.234,0.0002,11.2,,31790.0,31772.0,3.0,2.0,,56.0,0.36,0.36,0.0,0.0,6.0,1.0,0.0,0.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617.0,-862.39996,-12.1,-14.24,-96.81424
25%,,,,2021-02-26 06:00:00,435117.0,0.0,12.429,10084.0,0.0,0.0,48001.367,0.0,1.371,1112.45,0.0,0.0,0.85,46.0,5.146,421.0,47.094,,,,,1967179.75,18586.0,220.4845,2.083,18357.0,2.0575,0.0047,31.325,,10551056.25,5549291.25,5240501.75,13537.0,,3121.5,118.0275,62.074999999999996,58.62,0.155,349.0,81.0,0.001,35.19,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617.0,7210.7993,6.8,1.03,808.1966
50%,,,,2022-04-20 12:00:00,4062353.0,0.0,903.0,19418.0,0.0,4.857,448151.88,0.0,99.617,2142.161,0.0,0.536,1.03,86.0,9.62,1001.5,112.029,,,,,36078754.0,212647.0,4043.7595,23.834,241854.0,27.107,0.0097,102.9,,18321768.0,6870670.0,6636614.0,5134530.0,,10535.0,204.955,76.85499999999999,74.235,57.44,1178.0,224.0,0.003,47.8,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617.0,14281.199,8.22,7.09,1597.5181
75%,,,,2023-06-12 18:00:00,6078890.0,0.0,4135.143,22525.0,0.0,13.286,670612.8,0.0,456.182,2484.92,0.0,1.466,1.2325,240.75,26.931,1700.0,190.165,,,,,111637725.25,354947.0,12512.51925,39.783,364435.0,40.846500000000006,0.031875,211.3,,20043188.75,6894917.5,6678065.0,5387412.5,,33983.0,224.2025,77.1275,74.7,60.265,3801.0,8850.5,0.099,64.81,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617.0,23488.197,8.59,13.03,2621.7546
max,,,,2024-08-04 00:00:00,6082444.0,319108.0,45586.857,22534.0,957.0,136.714,671004.9,35203.453,5029.065,2485.912,105.575,15.082,2.89,709.0,79.31,4689.0,524.519,,,,,189791719.0,2945871.0,21272.133,330.178,807983.0,90.56,0.0892,4144.1,,20468731.0,6899873.0,6683263.0,5405966.0,,113669.0,228.97,77.18,74.76,60.47,12715.0,52117.0,0.583,82.41,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617.0,28471.795,9.59,56.82,3178.0242
