,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1032.0,1209.0,1209.0,1209.0,1209.0,0.0,0.0,1203.0,1203.0,841.0,841.0,841.0,841.0,834.0,834.0,835.0,835.0,841,1111.0,986.0,1098.0,990.0,1082.0,1140.0,1111.0,986.0,1098.0,990.0,1140.0,1014.0,1014.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,209.0,209.0,209.0,209.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BEL,Europe,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,2838454.819593787,2910.889486260454,2918.954121629719,25860.762246117083,20.513142174432495,20.574618933493113,243815.53099641573,250.03747192353643,250.73019652486522,2221.368894265233,1.76202688172043,1.7673259436788495,1.1231395348837208,286.7543424317618,24.601600496277914,1698.7559966914805,145.74186021505375,,,922.7514546965918,79.1658769742311,14326721.902497027,40803.33531510107,1233.8475374554102,3.5140772889417353,41109.02877697842,3.5404016786570747,0.11794730538922156,21.293293413173654,,22156143.82268227,7798285.4168357,7674303.201275046,7892491.398989899,29074.26247689464,27604.647368421054,190.08490549054906,66.90425963488845,65.84043715846995,67.71238383838384,2368.3070175438597,9133.847140039448,0.07833925049309666,39.190320512820506,375.564,41.800000000000004,18.570999999999998,12.848999999999997,42658.576,0.2,114.89799999999998,4.289999999999999,25.1,31.399999999999995,,5.64,81.63,0.9310000000000004,11655923.0,18454.15445966507,8.357655502392344,7.293923444976077,1584.0890957607655
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,,,34.0,2.917,82.0,82.0,0.007,0.007,629.0,0.054,0.009,2.2,,335.0,335.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923.0,-1995.0999,-7.67,-20.6,-172.56088
25%,,,,2021-02-26 06:00:00,749215.0,0.0,209.0,22126.0,0.0,0.0,64355.527,0.0,17.953,1900.563,0.0,0.0,0.96,68.0,5.834,702.0,60.227,,,383.0,32.859,3172834.0,17911.0,273.251,1.543,20034.0,1.725,0.04,5.7,,16917101.0,8489243.25,8532339.25,4388277.5,447.0,733.75,145.135,72.835,73.2,37.65,63.0,20.0,0.0,11.11,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923.0,15295.997,7.59,-1.58,1317.324
50%,,,,2022-04-20 12:00:00,3995817.0,0.0,1079.714,31174.0,0.0,6.286,343229.78,0.0,92.745,2677.762,0.0,0.54,1.09,147.0,12.612,1465.0,125.687,,,739.0,63.401,12342522.0,38748.0,1062.964,3.337,40049.0,3.449,0.074,13.5,,25610048.0,9241550.5,9152964.0,7835598.5,4789.5,7902.5,219.72,79.29,78.53,67.225,678.0,124.0,0.001,43.06,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923.0,19848.9,8.34,3.44,1702.9025
75%,,,,2023-06-12 18:00:00,4801084.0,0.0,2500.571,34324.0,0.0,21.714,412400.03,0.0,214.792,2948.338,0.0,1.865,1.27,404.0,34.66,2279.0,195.523,,,1200.0,102.952,23778591.0,54344.0,2047.862,4.68,51023.25,4.394,0.1745,25.0,,29542165.0,9259690.75,9163722.0,11645493.25,39951.25,42113.5,253.45,79.44,78.62,99.91,3613.0,5727.25,0.049,60.19,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923.0,27415.7,9.87,10.17,2345.9998
max,,,,2024-08-04 00:00:00,4872829.0,336348.0,48049.714,34339.0,1938.0,276.857,418562.72,28891.377,4127.34,2949.626,166.469,23.781,2.43,1474.0,126.459,7461.0,640.104,,,4991.0,428.194,34315605.0,150620.0,2955.332,12.972,120456.0,10.374,0.464,111.1,,31469387.0,9261641.0,9170945.0,13556521.0,197741.0,155101.0,269.99,79.46,78.68,116.31,13307.0,100652.0,0.864,81.48,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923.0,30348.102,15.68,105.35,2596.9294
