,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,30.0,30.0,30.0,29.0,37,68.0,60.0,56.0,20.0,0.0,544.0,68.0,60.0,56.0,20.0,544.0,544.0,544.0,1092.0,1674.0,0.0,0.0,0.0,1674.0,0.0,1674.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,24.0,24.0,24.0,24.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BMU,North America,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,10501.27240143369,11.266427718040621,11.300189334931096,97.60513739545998,0.0985663082437276,0.09889334931096465,162126.7286941458,173.9397879330944,174.46089514679446,1506.9032550776587,1.521751493428913,1.5263523067705214,,,,,,,,,,15191.454545454546,3811.5454545454545,236.68236363636362,59.38363636363636,1120.3666666666666,17.4554,0.042083333333333334,23.648275862068964,,77902.60294117648,35843.98333333333,35246.892857142855,27257.85,,244.21507352941177,121.33029411764704,55.825333333333326,54.89517857142857,42.4525,3803.5257352941176,90.83823529411765,0.14149080882352938,39.546877289377285,1308.8199999999997,,,,50669.315,,139.547,13.0,,,,,82.59000000000002,,64207.0,48.808336045833336,4.814166666666667,16.820833333333336,760.2663112083333
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1621.0,959.0,25.255,14.941,867.0,13.508,0.0,11.5,,0.0,0.0,1591.0,5512.0,,6.0,0.0,0.0,2.48,8.58,93.0,0.0,0.0,0.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,64207.0,-14.9,-27.64,-27.64,-232.62712
25%,,,,2021-02-26 06:00:00,699.0,0.0,0.0,12.0,0.0,0.0,10791.7,0.0,0.0,185.265,0.0,0.0,,,,,,,,,,5418.5,1421.5,84.42,22.147,1038.25,16.176000000000002,0.03855,22.5,,50693.0,29015.75,28075.0,23027.5,,66.75,78.95,45.19,43.725,35.8625,1039.25,10.0,0.016,16.06,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,64207.0,13.05000025,2.9425,-4.1875,203.74389499999998
50%,,,,2022-04-20 12:00:00,12901.0,0.0,0.714,131.0,0.0,0.0,199175.56,0.0,11.028,2022.479,0.0,0.0,,,,,,,,,,8307.0,1621.0,129.423,25.255,1109.0,17.2785,0.04115,24.0,,83136.5,42252.0,42104.5,30403.0,,148.0,129.48,65.805,65.575,47.35,2305.0,22.5,0.035,41.32,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,64207.0,26.35,6.53,8.51,410.85524
75%,,,,2023-06-12 18:00:00,18860.0,0.0,8.571,165.0,0.0,0.0,291175.2,0.0,132.332,2547.397,0.0,0.0,,,,,,,,,,23744.5,6790.5,369.9385,105.7955,1207.25,18.80875,0.04435,25.4,,114537.0,46619.25,45878.75,32035.25,,422.5,178.39000000000001,72.61,71.45500000000001,49.8925,6580.0,169.75,0.26425,51.85,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,64207.0,66.9500015,8.7175,30.125,1042.62385
max,,,,2024-08-04 00:00:00,18860.0,1350.0,192.857,165.0,23.0,3.286,291175.2,20842.34,2977.477,2547.397,355.092,50.727,,,,,,,,,,41927.0,9343.0,653.221,145.564,1317.0,20.519,0.0872,30.0,,132042.0,48554.0,47657.0,35831.0,,1224.0,205.65,75.62,74.22,55.81,19063.0,479.0,0.746,96.3,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,64207.0,176.20001,15.79,136.71,2743.993
std,,,,,8233.734093278666,71.76700351364829,25.06829022482916,67.94854068779517,0.8611758038729384,0.3128655684452534,127118.72670265153,1107.9942456608997,387.0236515934996,1049.0418979819733,13.295520594442298,4.830086475438923,,,,,,,,,,14290.506417644103,3536.4603309986774,222.64556605163855,55.09791915721088,120.11473920677946,1.8713350314681763,0.012286243592294407,3.436216845150572,,40022.243758525794,14510.723860849232,14136.353046060258,7781.256861506169,,232.62024093849953,62.33326945146724,22.600247221286693,22.01691415840198,12.120108942970509,3622.996489746299,121.32866163399584,0.18894507934659044,21.17792030798931,2.274416191696681e-13,,,,0.0,,0.0,0.0,,,,,1.4215101198104257e-14,,0.0,55.89911280298092,9.06168758477459,35.25944584100114,870.4545297768666
