,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,585.0,585.0,585.0,700.0,700.0,700.0,645.0,707,131.0,125.0,65.0,26.0,68.0,583.0,131.0,125.0,65.0,26.0,583.0,583.0,583.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,36.0,36.0,36.0,36.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BTN,Asia,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,32484.627837514934,37.45340501792115,37.56564469742361,11.327956989247312,0.012544802867383513,0.01259077291791492,41597.89414336918,47.960620071684595,48.104310365488324,14.50582556750299,0.016066308243727595,0.016118034751348112,0.801354401805869,,,,,,,,,553550.3948717949,2925.9299145299146,711.9747470085471,3.763328205128204,2397.97,3.0842142857142862,0.003522714285714286,1982.753333333333,,943376.4809160306,532536.928,530788.0461538462,555673.6153846154,12676.95588235294,3897.130360205832,120.56595419847329,68.05944000000001,67.83646153846153,71.01615384615386,4980.682675814751,1646.5986277873071,0.21045797598627788,50.869304029304026,21.188,28.600000000000005,4.884999999999998,2.977,8708.596999999996,1.5,217.06599999999997,9.75,,,79.807,1.6999999999999995,71.77999999999999,0.6540000000000001,782457.0,-38.233340147222215,-1.3005555555555555,3.5147222222222223,-49.52249441944444
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,,,,,,,,,489.0,2.0,0.629,0.003,32.0,0.041,0.0,22.0,,0.0,0.0,1306.0,351962.0,1.0,9.0,0.0,0.0,0.17,44.98,12.0,0.0,0.0,0.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457.0,-178.20001,-5.74,-23.87,-229.19615
25%,,,,2021-02-26 06:00:00,866.0,0.0,0.0,1.0,0.0,0.0,1108.948,0.0,0.0,1.281,0.0,0.0,0.54,,,,,,,,,76034.0,539.0,97.795,0.693,1065.5,1.3705,0.0004,211.9,,480209.0,480035.0,475423.0,542666.5,93.75,87.0,61.375,61.35,60.76,69.355,111.0,21.0,0.003,16.67,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457.0,-122.825005,-3.1325,-8.497499999999999,-157.54295249999998
50%,,,,2022-04-20 12:00:00,52796.0,0.0,0.857,18.0,0.0,0.0,67607.44,0.0,1.098,23.05,0.0,0.0,0.78,,,,,,,,,374748.0,1398.0,482.0,1.798,1746.0,2.2455,0.0016,536.6,,768478.0,486242.0,570147.0,545722.5,339.0,361.0,98.21,62.14,72.87,69.745,461.0,67.0,0.009,59.72,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457.0,-85.2999875,-1.905,-0.42500000000000004,-110.41898
75%,,,,2023-06-12 18:00:00,62672.0,0.0,4.571,21.0,0.0,0.0,80254.06,0.0,5.854,26.891,0.0,0.0,1.04,,,,,,,,,1154543.0,2544.0,1484.97,3.272,3027.0,3.893,0.004425,1786.3,,1162681.0,593737.0,672164.0,557622.75,2494.25,2470.5,148.58999999999997,75.88,85.9,71.265,3157.5,174.0,0.022,72.22,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457.0,39.999996249999995,0.8400000000000001,9.93,51.57511075
max,,,,2024-08-04 00:00:00,62697.0,10785.0,1540.714,21.0,4.0,0.571,80286.07,13810.634,1972.948,26.891,5.122,0.732,1.72,,,,,,,,,1711669.0,299684.0,2201.543,385.453,13711.0,17.635,0.0454,18720.3,,2011426.0,699116.0,677669.0,634641.0,97322.0,91636.0,257.07,89.35,86.61,81.11,117113.0,91636.0,11.711,97.22,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457.0,266.79996,6.41,46.73,340.97714
