,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1007.0,524.0,524.0,524.0,524.0,0.0,0.0,0.0,0.0,815.0,807.0,815.0,807.0,819.0,819.0,819.0,819.0,826,596.0,596.0,587.0,359.0,589.0,612.0,596.0,596.0,587.0,359.0,612.0,612.0,612.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,25.0,25.0,25.0,25.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BOL,South America,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,729355.1391875746,724.1021505376344,726.2703912522469,16602.3321385902,13.373357228195937,13.413426003594967,60391.30406571087,59.95635005973716,60.135860994607555,1374.688962962963,1.1073267622461171,1.110634511683643,1.0801588877855015,82.42366412213741,6.742679389312976,703.7576335877862,57.57124427480916,,,,,1652665.1447852761,5499.714993804213,136.81601226993865,0.45530607187112765,5396.078144078144,0.44672649572649575,0.20983492063492062,10.06764346764347,,8518640.169463087,4745856.055369128,3769647.8824531515,1233138.5571030641,24729.348047538202,23995.28431372549,69.68711409395974,38.82360738255033,30.837768313458263,10.087743732590528,1962.9558823529412,12031.01633986928,0.09842973856209151,42.44783882783882,10.202,25.4,6.703999999999997,4.393,6885.829,7.099999999999999,204.29900000000004,6.89,,,25.382999999999996,1.0999999999999999,71.50999999999999,0.718,12224114.0,31258.419693999997,45.7284,55.63,2591.30743628
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,10.0,0.818,79.0,6.463,,,,,26.0,1.0,0.002,0.0,20.0,0.002,0.0121,1.6,,1589.0,1589.0,12.0,11466.0,116.0,15.0,0.01,0.01,0.0,0.09,1.0,6.0,0.0,0.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114.0,461.4,4.86,-15.68,38.655617
25%,,,,2021-02-26 06:00:00,240676.0,0.0,28.571,11390.0,0.0,0.0,19928.203,0.0,2.366,943.103,0.0,0.0,0.88,35.0,2.863,208.75,17.07675,,,,,315880.0,1928.5,26.15,0.1595,1975.0,0.1635,0.09375,3.2,,3484937.25,2583041.25,1225362.0,689263.5,6101.0,8554.25,28.505,21.1325,10.024999999999999,5.640000000000001,699.75,1547.75,0.013,25.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114.0,18503.602,48.7,15.26,1550.2128
50%,,,,2022-04-20 12:00:00,903888.0,0.0,165.429,21903.0,0.0,1.429,74842.79,0.0,13.698,1813.589,0.0,0.118,1.05,65.0,5.317,469.0,38.3665,,,,,1224334.0,4786.0,101.357,0.396,5189.0,0.43,0.1551,6.4,,9092782.5,5261391.0,4446244.0,1255911.0,14858.0,18821.5,74.38,43.04,36.37,10.27,1539.5,7709.5,0.063,28.36,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114.0,31711.3,55.03,34.39,2625.222
75%,,,,2023-06-12 18:00:00,1200047.0,0.0,875.571,22383.0,0.0,17.571,99365.04,0.0,72.498,1853.334,0.0,1.455,1.27,125.0,10.226,935.5,76.52875,,,,,2766209.0,7379.0,229.001,0.611,6796.5,0.563,0.3087,10.7,,13534036.25,7181796.75,5945945.0,1758899.0,36705.0,34603.5,110.7125,58.75,48.64,14.385000000000002,2831.0,17579.0,0.1435,56.48,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114.0,52186.5,57.92,92.64,4320.2627
max,,,,2024-08-04 00:00:00,1212147.0,79218.0,11316.857,22387.0,1907.0,272.429,100366.93,6559.326,937.047,1853.665,157.901,22.557,2.03,235.0,19.224,2433.0,199.033,,,,,4440371.0,29723.0,367.596,2.461,23203.0,1.921,0.6329,82.9,,14690530.0,7361008.0,6160585.0,2167589.0,146827.0,107780.0,120.18,60.22,50.4,17.73,8817.0,69882.0,0.572,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114.0,63869.098,63.26,261.42,5224.8447
