,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,1674.0,1674.0,1669.0,1674.0,1673.0,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,2.0,0.0,0.0,145.0,2.0,2.0,2.0,0.0,145.0,145.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BES,North America,Bonaire Sint Eustatius and Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,6608.280764635603,7.121863799283154,7.143208508088677,25.076463560334528,0.02510460251046025,0.02520083932853717,230623.32447132614,248.54693010752686,249.29153684841222,875.1470179211469,0.8761261207411835,0.8787853717026378,,,,,,,,,,,,,,,,,,,21618.0,12417.5,9200.5,,,196.0,79.91,45.905,34.01,,7245.0,92.0,0.33999999999999997,,,,,,,,,,,,,,77.78999999999999,,27052.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,7391.0,5726.0,1665.0,,,196.0,27.32,21.17,6.15,,7245.0,92.0,0.34,,,,,,,,,,,,,,77.79,,27052.0,,,,
25%,,,,2021-02-26 06:00:00,413.0,0.0,0.0,4.0,0.0,0.0,14413.346,0.0,0.0,139.597,0.0,0.0,,,,,,,,,,,,,,,,,,,14504.5,9071.75,5432.75,,,196.0,53.615,33.5375,20.08,,7245.0,92.0,0.34,,,,,,,,,,,,,,77.79,,27052.0,,,,
50%,,,,2022-04-20 12:00:00,9044.0,0.0,0.571,33.0,0.0,0.0,315627.84,0.0,19.942,1151.672,0.0,0.0,,,,,,,,,,,,,,,,,,,21618.0,12417.5,9200.5,,,196.0,79.91,45.905,34.01,,7245.0,92.0,0.34,,,,,,,,,,,,,,77.79,,27052.0,,,,
75%,,,,2023-06-12 18:00:00,11921.0,0.0,6.0,41.0,0.0,0.0,416032.7,0.0,209.395,1430.865,0.0,0.0,,,,,,,,,,,,,,,,,,,28731.5,15763.25,12968.25,,,196.0,106.205,58.2725,47.94,,7245.0,92.0,0.34,,,,,,,,,,,,,,77.79,,27052.0,,,,
max,,,,2024-08-04 00:00:00,11922.0,1041.0,148.714,41.0,4.0,0.571,416067.56,36330.008,5190.001,1430.865,139.597,19.942,,,,,,,,,,,,,,,,,,,35845.0,19109.0,16736.0,,,196.0,132.5,70.64,61.87,,7245.0,92.0,0.34,,,,,,,,,,,,,,77.79,,27052.0,,,,
std,,,,,5257.081070515546,53.03580729864358,18.9538602508127,16.556126580653423,0.20887258125492703,0.07559110680635205,183467.6152082692,1850.9041346339097,661.473305898376,577.7946885353617,7.289455594970435,2.636518560654127,,,,,,,,,,,,,,,,,,,20120.016351882023,9463.210052619566,10656.806299262458,,,0.0,74.37349124520107,34.98057246529851,39.39998984771443,,0.0,0.0,5.570356481073612e-17,,,,,,,,,,,,,,1.4215101198104257e-14,,0.0,,,,
