,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,407.0,485.0,407.0,638.0,638.0,638.0,637.0,645,20.0,22.0,20.0,2.0,2.0,352.0,20.0,22.0,20.0,2.0,352.0,352.0,352.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,48.0,48.0,48.0,48.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BIH,Europe,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,270953.28016726405,241.13859020310633,241.86098022768127,11168.151732377539,9.792114695340501,9.821465548232476,84545.94923237753,75.24282795698925,75.46822468544036,3484.8147652329753,3.0554402628434887,3.064641102456561,1.0568307086614173,,,,,,,,,626761.8742268041,2563.92628992629,191.61502886597935,0.7838181818181819,2326.4717868338557,0.7112523510971787,0.16528416927899686,16.785400313971742,,677503.2,449873.8181818182,309136.2,71551.0,46931.0,5436.727272727273,20.952500000000004,13.913181818181819,9.561000000000002,2.215,1681.2869318181818,2675.6875,0.08282102272727274,38.82440476190476,68.49599999999998,42.5,16.568999999999996,10.711,11713.895,0.2,329.63500000000005,10.079999999999998,30.199999999999992,47.7,97.16400000000002,3.5,77.39999999999999,0.78,3233530.0,14427.908531395835,15.53125,15.404375,4461.7546546875
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,,,,,,,,,3458.0,402.0,1.057,0.123,577.0,0.176,0.0,1.3,,0.0,0.0,10000.0,22572.0,26978.0,574.0,0.0,0.0,0.31,0.7,178.0,413.0,0.013,0.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530.0,-1107.2,-17.62,-17.62,-333.65375
25%,,,,2021-02-26 06:00:00,128049.0,0.0,3.0,4995.0,0.0,0.143,39955.316,0.0,0.936,1558.597,0.0,0.045,0.87,,,,,,,,,183974.0,1556.5,56.245,0.476,1514.5,0.463,0.067775,4.2,,215241.25,208218.75,60218.75,47061.5,36954.5,3540.75,6.654999999999999,6.4425,1.8625,1.4575,1095.0,1020.0,0.032,25.93,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530.0,6650.1753,15.6325,-1.3275,2025.893075
50%,,,,2022-04-20 12:00:00,376483.0,0.0,30.286,15751.0,0.0,1.429,117474.54,0.0,9.45,4914.808,0.0,0.446,1.01,,,,,,,,,558563.0,2375.0,170.765,0.726,2336.0,0.7144999999999999,0.1636,6.1,,547028.0,440144.0,260725.0,71551.0,46931.0,4315.0,16.915,13.61,8.065,2.215,1334.0,1979.0,0.061,36.11,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530.0,19435.5505,18.745,5.635,5976.8027999999995
75%,,,,2023-06-12 18:00:00,403030.0,0.0,308.143,16348.0,0.0,13.286,125758.04,0.0,96.15,5101.09,0.0,4.146,1.23,,,,,,,,,1045737.0,3330.5,319.705,1.0179999999999998,2898.75,0.886,0.23885,14.5,,961130.75,709162.0,446563.5,96040.5,56907.5,7662.0,29.7225,21.935000000000002,13.8125,2.9725,2370.0,4037.0,0.125,42.59,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530.0,22162.25175,23.4475,18.775,6886.1173499999995
max,,,,2024-08-04 00:00:00,403666.0,17250.0,2464.286,16392.0,555.0,79.286,125956.49,5382.543,768.935,5114.82,173.177,24.74,1.74,,,,,,,,,1499302.0,16699.0,458.37,5.105,5256.0,1.607,0.7422,612.7,,1924950.0,943394.0,846080.0,120530.0,66884.0,17247.0,59.53,29.18,26.17,3.73,5334.0,11388.0,0.352,92.59,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530.0,23043.0,27.32,102.26,7126.2676
