,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,34.0,205.0,34.0,769.0,769.0,747.0,691.0,776,80.0,78.0,60.0,30.0,1.0,1011.0,80.0,78.0,60.0,30.0,1011.0,1011.0,1011.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BWA,Africa,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,204354.44265232974,197.5483870967742,198.1402049131216,1856.9659498207886,1.673237753882915,1.67829298981426,83755.42420967743,80.96594026284349,81.20850569203115,761.0843124253287,0.6857885304659498,0.6878999400838824,0.7944601962922574,,,,,,,,,792510.6585365854,571.3529411764706,306.17505853658537,0.22076470588235295,2966.2678803641093,1.1459336801040312,0.0923558232931727,123.77366136034738,,1262834.725,766834.5897435897,786581.1166666667,411431.1,10435.0,3142.0138476755687,48.010875000000006,29.153974358974363,29.905333333333335,15.641666666666667,1194.5390702274976,1934.677546983185,0.07355588526211672,36.60423076923077,4.043999999999999,25.800000000000008,3.9410000000000003,2.2420000000000004,15807.374000000003,,237.372,4.8100000000000005,5.700000000000002,34.39999999999999,,1.8000000000000005,69.59000000000002,0.7349999999999999,2630300.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,,,,,,,,,820.0,90.0,0.317,0.035,154.0,0.059,0.0,1.1,,0.0,0.0,23018.0,86486.0,10435.0,0.0,0.0,0.0,0.88,3.29,0.0,0.0,0.0,0.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
25%,,,,2021-02-26 06:00:00,25383.0,0.0,0.857,270.0,0.0,0.0,10403.316,0.0,0.351,110.66,0.0,0.0,0.35,,,,,,,,,45440.0,309.0,17.555,0.1195,1333.0,0.515,0.015349999999999999,8.350000000000001,,214839.25,152638.0,131534.0,368483.0,10435.0,0.0,8.165,5.8,5.0024999999999995,14.0075,0.0,39.0,0.001,13.89,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
50%,,,,2022-04-20 12:00:00,305984.0,0.0,8.714,2688.0,0.0,0.0,125408.67,0.0,3.572,1101.687,0.0,0.0,0.82,,,,,,,,,632628.0,472.0,244.407,0.182,2755.0,1.064,0.0498,17.1,,597147.0,360464.0,695593.5,498312.0,10435.0,1168.0,22.705,13.705,26.445,18.95,444.0,461.0,0.018,47.22,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
75%,,,,2023-06-12 18:00:00,329985.0,0.0,179.714,2797.0,0.0,0.714,135245.58,0.0,73.657,1146.361,0.0,0.293,1.16,,,,,,,,,1457692.0,657.25,563.158,0.2535,4219.0,1.63,0.11495,47.599999999999994,,2864819.5,1484463.25,1412496.0,504617.75,10435.0,3287.5,108.9125,56.4375,53.7,19.185,1250.0,2144.0,0.082,62.04,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
max,,,,2024-08-04 00:00:00,330696.0,41830.0,5975.714,2801.0,211.0,30.143,135536.98,17144.18,2449.169,1148.0,86.479,12.354,1.43,,,,,,,,,2285160.0,2647.0,882.839,1.023,12461.0,4.814,0.8919,2909.1,,3171667.0,1951054.0,1663490.0,510809.0,10435.0,56751.0,120.58,74.18,63.24,19.42,21576.0,16354.0,0.622,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
std,,,,,142076.87686181985,1457.9414239962905,520.4598250153923,1200.7900674341454,12.03720723715255,4.283043257614789,58230.73339785755,597.5426937297265,213.31239904209002,492.14817028237087,4.933489337246924,1.7553869250876233,0.423088377159825,,,,,,,,,731000.8695993328,462.4566077828237,282.4116624262346,0.17867136902849579,1947.4737384624318,0.7524226631923894,0.12198085268245026,386.71991460066926,,1248028.0453738591,726947.3895665323,645268.8965414339,129667.64061839553,,5854.284929134491,47.44819147141678,27.637661314958848,24.532118308465844,4.929933260605359,2225.696857657142,3101.5932531204494,0.1179235177229762,27.081671345625125,8.88443824881516e-16,7.107550599052128e-15,4.44221912440758e-16,4.44221912440758e-16,3.63906590671469e-12,,0.0,8.88443824881516e-16,1.776887649763032e-15,7.107550599052128e-15,,4.44221912440758e-16,1.4215101198104257e-14,1.110554781101895e-16,0.0,,,,
