,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,48.0,47.0,46.0,14.0,0.0,483.0,48.0,47.0,46.0,14.0,483.0,483.0,483.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,VGB,North America,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,4316.480884109917,4.514336917562724,4.527884361893349,39.33691756272401,0.038231780167264036,0.03835530257639305,112572.52396176821,117.73254719235366,118.0852564409826,1025.8951445639186,0.9970728793309438,1.0000647094068305,,,,,,,,,,96630.0,,3104.878,,,,,,,33478.020833333336,17415.297872340427,14999.54347826087,3726.0,,55.84472049689441,106.84958333333333,55.5831914893617,47.87326086956522,11.89,1782.3105590062112,17.213250517598343,0.05488612836438922,,207.973,,,,,,,13.669999999999996,,,,,79.06999999999996,,31332.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,96630.0,,3104.878,,,,,,,15031.0,11255.0,3776.0,3726.0,,1.0,47.97,35.92,12.05,11.89,32.0,0.0,0.0,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
25%,,,,2021-02-26 06:00:00,153.0,0.0,0.0,1.0,0.0,0.0,3990.194,0.0,0.0,26.08,0.0,0.0,,,,,,,,,,96630.0,,3104.878,,,,,,,29366.25,16782.5,13005.75,3726.0,,7.0,93.72500000000001,53.56,41.51,11.89,223.0,2.0,0.006,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
50%,,,,2022-04-20 12:00:00,6162.0,0.0,0.143,62.0,0.0,0.0,160703.11,0.0,3.726,1616.941,0.0,0.0,,,,,,,,,,96630.0,,3104.878,,,,,,,35112.0,18357.0,16940.0,3726.0,,16.0,112.065,58.59,54.065,11.89,511.0,7.0,0.022,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
75%,,,,2023-06-12 18:00:00,7319.0,0.0,1.286,64.0,0.0,0.0,190877.33,0.0,33.531,1669.101,0.0,0.0,,,,,,,,,,96630.0,,3104.878,,,,,,,40723.5,19237.0,17802.0,3726.0,,67.0,129.975,61.394999999999996,56.82,11.89,2138.0,16.0,0.051,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
max,,,,2024-08-04 00:00:00,7557.0,1048.0,149.714,64.0,13.0,1.857,197084.3,27331.525,3904.504,1669.101,339.036,48.434,,,,,,,,,,96630.0,,3104.878,,,,,,,41453.0,19466.0,18261.0,3726.0,,343.0,132.3,62.13,58.28,11.89,10947.0,232.0,0.74,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
std,,,,,3293.8921806098238,46.50528224510565,17.096696307190836,28.66580922191201,0.5286491407053423,0.19694585663827946,85903.71791684785,1212.8437681545122,445.87683021363904,747.5956488598506,13.78699972275026,5.135935582147002,,,,,,,,,,,,,,,,,,,7315.301484427513,2431.8416166505654,3925.603363144868,0.0,,78.75445523901699,23.347705337003593,7.762356798758374,12.528850449058734,0.0,2513.598477450731,31.372247534179387,0.10013810729846849,,0.0,,,,,,,3.553775299526064e-15,,,,,2.8430202396208514e-14,,0.0,,,,
