,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,17.0,2.0,49.0,49.0,49.0,37.0,56,39.0,36.0,32.0,1.0,0.0,781.0,39.0,36.0,32.0,1.0,781.0,781.0,781.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,BFA,Africa,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,15445.461170848268,13.22520908004779,13.264865787896944,268.505376344086,0.23894862604540024,0.23970281605751947,686.1893327359618,0.5875501792114696,0.5892750149790293,11.92886439665472,0.010609318996415769,0.010627920910724984,0.60163708086785,,,,,,,,,313235.4117647059,273.5,14.173117647058822,0.0125,381.6530612244898,0.01730612244897959,0.03951224489795919,88.87297297297296,,2020382.3333333333,1727294.7222222222,1400740.46875,4056.0,,10073.268886043534,8.910512820512821,7.617500000000001,6.1771875000000005,0.02,444.2714468629962,7771.306017925736,0.034308578745198465,20.569981684981684,70.15099999999998,17.599999999999998,2.408999999999999,1.3580000000000003,1703.102,43.7,269.0479999999999,2.4200000000000004,1.6,23.9,11.877,0.4,61.580000000000005,0.45200000000000007,22673764.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,,,,,,,,,305250.0,41.0,13.812,0.002,151.0,0.007,0.0,2.3,,200.0,200.0,13273.0,4056.0,,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764.0,,,,
25%,,,,2021-02-26 06:00:00,11797.0,0.0,0.0,139.0,0.0,0.0,524.101,0.0,0.0,6.175,0.0,0.0,0.06,,,,,,,,,308041.0,157.25,13.938,0.0072499999999999995,320.0,0.014,0.0016,17.0,,210352.5,263693.5,331570.75,4056.0,,2808.0,0.925,1.165,1.46,0.02,124.0,1011.0,0.004,8.33,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764.0,,,,
50%,,,,2022-04-20 12:00:00,20865.0,0.0,1.0,383.0,0.0,0.0,926.961,0.0,0.044,17.015,0.0,0.0,0.77,,,,,,,,,312333.0,273.5,14.132,0.0125,363.0,0.016,0.0139,54.3,,2309542.0,2109689.5,1181962.5,4056.0,,9095.0,10.19,9.305,5.21,0.02,401.0,4116.0,0.018,13.89,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764.0,,,,
75%,,,,2023-06-12 18:00:00,22056.0,0.0,12.0,396.0,0.0,0.143,979.873,0.0,0.533,17.593,0.0,0.006,0.99,,,,,,,,,315805.0,389.75,14.289,0.017750000000000002,455.0,0.021,0.0375,79.8,,2947562.0,2449761.75,1576442.25,4056.0,,10718.0,13.0,10.8,6.952500000000001,0.02,473.0,7901.0,0.035,22.22,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764.0,,,,
max,,,,2024-08-04 00:00:00,22139.0,2004.0,286.286,400.0,31.0,4.429,983.56,89.031,12.719,17.771,1.377,0.197,1.54,,,,,,,,,324773.0,506.0,14.695,0.023,541.0,0.024,0.438,624.3,,7893609.0,6089089.0,5232347.0,4056.0,,39484.0,34.81,26.86,23.08,0.02,1741.0,75658.0,0.334,89.81,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764.0,,,,
