,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,99.0,99.0,99.0,25.0,106,84.0,80.0,77.0,30.0,2.0,917.0,84.0,80.0,77.0,30.0,917.0,917.0,917.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CMR,Africa,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,88403.71206690562,74.81839904420549,75.0425374475734,1420.3560334528077,1.17921146953405,1.1827819053325344,3199.2344510155317,2.707596176821983,2.715706411024565,51.40116009557945,0.042674432497013144,0.04280107849011383,0.4876709613478692,,,,,,,,,2620328.0,,96.340375,,2215.121212121212,0.08145454545454546,0.005234343434343434,57.54,,1478198.9523809524,1065306.5,828431.2207792208,368213.1666666667,5145.0,5319.60959651036,5.29547619047619,3.8158750000000006,2.967662337662338,1.32,190.5070883315158,4092.1657579062157,0.014689203925845148,31.65735347985348,50.88499999999999,18.800000000000008,3.1649999999999996,1.9190000000000003,3364.926,23.800000000000008,244.66100000000006,7.200000000000002,,,2.7349999999999994,1.3000000000000005,59.28999999999999,0.5629999999999998,27914542.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,,,2507964.0,,92.209,,608.0,0.022,0.0,21.9,,0.0,0.0,903.0,29565.0,400.0,62.0,0.0,0.0,0.0,0.11,2.0,54.0,0.0,0.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27914542.0,,,,
25%,,,,2021-02-26 06:00:00,33749.0,0.0,0.0,523.0,0.0,0.0,1221.34,0.0,0.0,18.927,0.0,0.0,0.11,,,,,,,,,2522756.5,,92.75274999999999,,711.0,0.0265,0.0,37.1,,388479.0,303344.25,72112.0,54289.5,2772.5,507.0,1.395,1.0875000000000001,0.26,0.1975,18.0,494.0,0.002,22.22,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27914542.0,,,,
50%,,,,2022-04-20 12:00:00,119813.0,0.0,9.143,1927.0,0.0,0.0,4335.902,0.0,0.331,69.736,0.0,0.0,0.41,,,,,,,,,2627947.0,,96.62049999999999,,1815.0,0.067,0.0,53.0,,563742.0,422870.5,175829.0,420650.0,5145.0,1068.0,2.02,1.5150000000000001,0.63,1.51,38.0,922.0,0.003,29.63,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27914542.0,,,,
75%,,,,2023-06-12 18:00:00,125090.0,0.0,72.429,1974.0,0.0,0.857,4526.872,0.0,2.621,71.437,0.0,0.031,0.76,,,,,,,,,2710516.75,,99.6565,,2668.0,0.098,0.00475,79.1,,1899424.0,1561433.5,1223119.0,602571.0,7517.5,3139.0,6.8025,5.595,4.38,2.155,112.0,2375.0,0.009,38.89,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27914542.0,,,,
max,,,,2024-08-04 00:00:00,125246.0,8681.0,1240.143,1974.0,133.0,19.0,4532.516,314.156,44.879,71.437,4.813,0.688,1.41,,,,,,,,,2731181.0,,100.416,,10829.0,0.398,0.0456,105.3,,4880572.0,3753733.0,3197286.0,803560.0,9890.0,232219.0,17.48,13.45,11.45,2.88,8319.0,184507.0,0.661,71.3,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27914542.0,,,,
std,,,,,46778.583287015404,447.2687044260325,154.37596326282625,725.3662033705917,7.51154666290914,2.6238063158513896,1692.8662169676932,16.186170527561163,5.586678557805008,26.250242754043267,0.2718443873430035,0.09496866187035213,0.3749166928089401,,,,,,,,,96164.4756861909,,3.535766311666295,,2184.546103664386,0.08030963963886237,0.01015255232427668,23.256289471882653,,1596165.490305128,1169701.9220026024,1043363.0356592169,302405.64273346524,6710.443353460336,17420.95800206935,5.718087641557684,4.1902921845346475,3.7374702590275573,1.0831435731240804,624.1150863841708,14570.054454481471,0.05220879335745615,17.473082885640597,7.107550599052128e-15,7.107550599052128e-15,4.44221912440758e-16,2.22110956220379e-16,0.0,7.107550599052128e-15,5.686040479241703e-14,1.776887649763032e-15,,,4.44221912440758e-16,4.44221912440758e-16,7.107550599052128e-15,1.110554781101895e-16,0.0,,,,
