,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0,695.0,704.0,695.0,738.0,738.0,697.0,697.0,745,348.0,280.0,324.0,102.0,255.0,1045.0,348.0,280.0,324.0,102.0,1045.0,1021.0,1021.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,170.0,170.0,170.0,170.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,COL,South America,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,4456268.1899641575,3818.3249701314217,3829.2627094068303,103554.15949820788,85.2610513739546,85.51646674655483,86131.52821266427,73.80125388291518,74.01264409826243,2001.5127395459979,1.6479360812425332,1.652872378669862,0.9652254901960784,,,,,,,,,17041000.67471591,48984.641726618705,330.7868181818182,0.9508517985611509,47161.733062330626,0.915459349593496,0.17892826398852224,11.284218077474893,,39406626.698275864,22865245.764285713,18024439.925925925,8393413.029411765,197216.89019607843,87039.95693779904,75.96597701149426,44.078428571428574,34.746574074074076,16.18029411764706,1677.9483253588517,41561.4848188051,0.0801488736532811,50.8507326007326,44.223,32.199999999999996,7.645999999999999,4.311999999999999,13254.948999999997,4.5,124.24,7.439999999999999,4.700000000000002,13.5,65.38599999999998,1.7100000000000006,77.28999999999999,0.767,51874028.0,113751.24712802941,23.005,23.213764705882358,2198.211856362471
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,343518.0,5991.0,6.668,0.116,11839.0,0.23,0.015,2.4,,18.0,749059.0,33242.0,2677561.0,2374.0,1596.0,0.0,1.44,0.06,5.16,31.0,0.0,0.0,0.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028.0,-2016.8,-2.04,-8.32,-39.59894
25%,,,,2021-02-26 06:00:00,2217001.0,0.0,67.143,58511.0,0.0,0.0,42850.586,0.0,1.298,1130.911,0.0,0.0,0.82,,,,,,,,,6207671.25,32112.0,120.49849999999999,0.6234999999999999,32276.0,0.62625,0.059,3.8,,9456539.5,8000237.25,4750352.5,5062404.5,95757.5,1779.0,18.2275,15.42,9.16,9.7575,34.0,0.0,0.0,19.44,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028.0,38169.72725,18.740000000000002,2.56,749.445045
50%,,,,2022-04-20 12:00:00,6089381.0,0.0,459.143,139741.0,0.0,8.857,117696.62,0.0,8.874,2700.938,0.0,0.171,0.99,,,,,,,,,16138872.5,44675.0,313.27549999999997,0.867,44899.5,0.8714999999999999,0.194,5.2,,37916769.5,23365872.5,17350659.0,7850163.0,192839.0,26651.0,73.095,45.04,33.445,15.135,514.0,2792.0,0.005,48.35,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028.0,155275.52,25.855,9.315000000000001,3014.08935
75%,,,,2023-06-12 18:00:00,6365994.0,0.0,4547.429,142727.0,0.0,138.0,123043.04,0.0,87.893,2758.652,0.0,2.667,1.14,,,,,,,,,27260805.25,60366.5,529.1655000000001,1.1715,59315.25,1.1512499999999999,0.26,16.9,,66457024.5,39796275.75,29853766.25,11047536.25,278961.0,158059.0,128.10750000000002,76.7125,57.55,21.295,3047.0,64547.0,0.124,76.855,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028.0,182915.6625,32.192499999999995,35.985,3526.15115
max,,,,2024-08-04 00:00:00,6391876.0,210161.0,30023.0,142727.0,4575.0,653.571,123543.3,4062.028,580.29,2758.652,88.426,12.632,2.27,,,,,,,,,35241195.0,131614.0,684.075,2.555,111610.0,2.166,0.416,66.7,,90931192.0,43012174.0,37204128.0,14944212.0,1036209.0,414465.0,175.29,82.92,71.72,28.81,7990.0,303302.0,0.585,90.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028.0,191750.6,38.4,113.48,3685.9175
std,,,,,2438098.0988913258,19565.866101931668,6501.625362052959,53768.0230678002,431.04434053008777,142.64318986217742,47123.984896963804,378.17247756789396,125.66456086301675,1039.2376690208796,8.331291447309496,2.7570276854183864,0.3422468737734626,,,,,,,,,11330092.51007692,23954.14437287596,219.93107301515414,0.4649778646388548,22186.198793305786,0.4306758868478651,0.10628237446732627,12.676721266452,,29547786.317698997,15280945.73441686,12532443.326375114,3854832.1720411275,128766.17418315815,107394.37440620731,56.96046789728188,29.45782374176026,24.159313756145284,7.431118735103927,2070.262121596308,65065.609554412615,0.12542230378004865,25.894914647391865,0.0,7.107550599052128e-15,8.88443824881516e-16,8.88443824881516e-16,3.63906590671469e-12,0.0,0.0,1.776887649763032e-15,1.776887649763032e-15,0.0,1.4215101198104257e-14,6.66332868661137e-16,1.4215101198104257e-14,0.0,0.0,74828.9374673431,12.001810723840283,29.105634846640367,1440.9212452242343
