,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,5.0,0.0,12,38.0,36.0,22.0,0.0,1.0,473.0,38.0,36.0,22.0,0.0,473.0,473.0,473.0,1092.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,0.0,1674.0,1674.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,COG,Africa,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,17360.158303464756,15.06989247311828,15.115050928699821,269.26403823178015,0.23237753882915174,0.23308448172558416,2876.5286660692955,2.4970412186379933,2.504532055122828,44.61618936678615,0.038502986857825564,0.038627920910724985,0.4533568548387097,,,,,,,,,391523.0,,67.08949999999999,,639.0,0.10900000000000001,0.0,,,423502.4736842105,330930.1666666667,232185.18181818182,,1486.0,1736.6257928118393,7.093684210526316,5.542222222222223,3.889090909090909,,290.90063424947147,1446.1289640591965,0.024221987315010574,43.69050366300366,15.405,19.0,3.402,2.0629999999999997,4881.406000000001,37.0,344.09399999999994,7.200000000000002,1.6999999999999995,52.29999999999999,47.96399999999999,,64.56999999999996,0.5739999999999998,5970430.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,,,,,,,,388006.0,,66.487,,639.0,0.109,0.0,,,14297.0,14297.0,66027.0,,1486.0,0.0,0.24,0.24,1.11,,0.0,0.0,0.0,0.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
25%,,,,2021-02-26 06:00:00,8625.0,0.0,0.0,127.0,0.0,0.0,1429.138,0.0,0.0,21.044,0.0,0.0,0.15,,,,,,,,,389764.5,,66.78824999999999,,639.0,0.109,0.0,,,128018.0,112743.0,112560.5,,1486.0,216.0,2.14,1.885,1.89,,36.0,215.0,0.004,35.32,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50%,,,,2022-04-20 12:00:00,24029.0,0.0,1.429,385.0,0.0,0.0,3981.536,0.0,0.237,63.793,0.0,0.0,0.51,,,,,,,,,391523.0,,67.08949999999999,,639.0,0.109,0.0,,,359329.5,242149.0,122444.0,,1486.0,1122.0,6.02,4.055,2.05,,188.0,852.0,0.014,44.27,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
75%,,,,2023-06-12 18:00:00,25196.0,0.0,16.571,389.0,0.0,0.143,4174.905,0.0,2.746,64.456,0.0,0.024,0.67,,,,,,,,,393281.5,,67.39075,,639.0,0.109,0.0,,,740692.25,568328.0,134393.25,,1486.0,2971.0,12.405000000000001,9.515,2.2525,,498.0,1841.0,0.031,55.56,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
max,,,,2024-08-04 00:00:00,25227.0,1188.0,169.714,389.0,31.0,4.429,4180.042,196.848,28.121,64.456,5.137,0.734,0.93,,,,,,,,,395040.0,,67.692,,639.0,0.109,0.0,,,833210.0,695760.0,654119.0,,1486.0,7088.0,13.96,11.65,10.96,,1187.0,6763.0,0.113,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
