,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
count,1674,1674,1674,1674,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,1674.0,1674.0,1669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.0,27.0,25.0,6.0,0.0,629.0,27.0,27.0,25.0,6.0,629.0,629.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1674.0,0.0,0.0,0.0,0.0
unique,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,COK,Oceania,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1674,1674,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,2022-04-20 12:00:00,3454.563918757467,4.387694145758662,4.400351108448174,0.8249701314217444,0.0011947431302270011,0.0011995206710605152,234255.37009557948,297.53130406212665,298.38782085080885,55.94155137395461,0.08101553166069296,0.08125704014379868,,,,,,,,,,,,,,,,,,,25885.333333333332,12634.592592592593,11785.52,10139.833333333334,,60.58028616852146,151.9811111111111,74.18111111111112,69.1972,59.53333333333334,3556.9332273449922,19.57074721780604,0.1149268680445151,,,,,,,,,,,,,,76.25,,17032.0,,,,
min,,,,2020-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,4363.0,4363.0,29.0,9916.0,,1.0,25.62,25.62,0.17,58.22,59.0,0.0,0.0,,,,,,,,,,,,,,76.25,,17032.0,,,,
25%,,,,2021-02-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,21476.5,11167.5,11132.0,10098.0,,1.0,126.095,65.57,65.36,59.29,59.0,0.0,0.0,,,,,,,,,,,,,,76.25,,17032.0,,,,
50%,,,,2022-04-20 12:00:00,3688.0,0.0,0.0,0.0,0.0,0.0,250084.77,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,25601.0,12971.0,12702.0,10206.0,,3.0,150.31,76.16,74.58,59.92,176.0,0.0,0.0,,,,,,,,,,,,,,76.25,,17032.0,,,,
75%,,,,2023-06-12 18:00:00,7137.0,0.0,0.571,2.0,0.0,0.0,483962.84,0.0,38.749,135.621,0.0,0.0,,,,,,,,,,,,,,,,,,,29445.0,14992.0,14573.0,10208.25,,45.0,172.885,88.02,85.56,59.935,2642.0,8.0,0.047,,,,,,,,,,,,,,76.25,,17032.0,,,,
max,,,,2024-08-04 00:00:00,7345.0,1039.0,148.429,2.0,1.0,0.143,498067.4,70455.01,10065.001,135.621,67.81,9.687,,,,,,,,,,,,,,,,,,,40854.0,15112.0,14728.0,10240.0,,1433.0,239.87,88.73,86.47,60.12,84136.0,561.0,3.294,,,,,,,,,,,,,,76.25,,17032.0,,,,
std,,,,,3412.435765542173,48.4657826714663,17.88727667094094,0.8935299910430248,0.03455472468492742,0.013045864482886423,231398.64264075243,3286.4842768433846,1212.9406701440712,60.590698655990835,2.343155880884929,0.883743281438607,,,,,,,,,,,,,,,,,,,10180.335614839485,2741.221558963747,3686.727739699077,126.27971597476242,,162.80654181145755,59.77185653242949,16.093771211088836,21.64551195205756,0.7401261153794447,9558.831217796002,72.4159968179781,0.4251899999347052,,,,,,,,,,,,,,0.0,,0.0,,,,
